sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
"刘正伟,男,1979年生,浙江工商大学经济学学士、大连理工大学控制工程硕士",浙江工商大学,2,2,2,2,"[""本科"",""硕士""]",[],[]
"曾任湖南省华容县氮肥厂厂办副主任、湖南省华容县工业学校教师、天津商学院讲师及副教授,2005年10月至今任中央财经大学会计学院教授、博士生导师",天津商学院,4,1,2,0,[],"[""教授"",""讲师""]",[]
"曾任湖南省华容县氮肥厂厂办副主任、湖南省华容县工业学校教师、天津商学院讲师及副教授,2005年10月至今任中央财经大学会计学院教授、博士生导师",中央财经大学,4,1,3,1,"[""博士""]","[""教授"",""导师""]",[]
"1989年7月毕业于南京师范大学数学系,1994年获得南开大学会计学硕士学位,2008年获得对外经济贸易大学经济学博士学位",南京师范大学,2,2,0,0,[],[],[]
"1989年7月毕业于南京师范大学数学系,1994年获得南开大学会计学硕士学位,2008年获得对外经济贸易大学经济学博士学位",南开大学,2,2,1,1,"[""硕士""]",[],[]
"1989年7月毕业于南京师范大学数学系,1994年获得南开大学会计学硕士学位,2008年获得对外经济贸易大学经济学博士学位",对外经济贸易大学,2,2,1,1,"[""博士""]",[],[]
"1989年7月至1991年9月在江苏省镇江高等专科学校担任讲师,1994年9月至今在对外经济贸易大学国际商学院任教,现任对外经济贸易大学国际商学院会计系主任、教授,博士生导师",对外经济贸易大学,4,1,0,0,[],[],[]
"1989年7月至1991年9月在江苏省镇江高等专科学校担任讲师,1994年9月至今在对外经济贸易大学国际商学院任教,现任对外经济贸易大学国际商学院会计系主任、教授,博士生导师",对外经济贸易大学,4,1,1,0,[],"[""教授""]",[]
"刘小平先生1984年毕业于湖南大学机械制造专业,于2006年8月完成清华大学创新管理(MIA)总裁班专业课程、于2012年3月完成上海交通大学高级工商管理总裁班专业课程",湖南大学,1,0,0,0,[],[],[]
"刘小平先生1984年毕业于湖南大学机械制造专业,于2006年8月完成清华大学创新管理(MIA)总裁班专业课程、于2012年3月完成上海交通大学高级工商管理总裁班专业课程",清华大学,1,0,1,0,[],[],"[""工商管理""]"
"刘小平先生1984年毕业于湖南大学机械制造专业,于2006年8月完成清华大学创新管理(MIA)总裁班专业课程、于2012年3月完成上海交通大学高级工商管理总裁班专业课程",上海交通大学,1,0,1,0,[],[],"[""工商管理""]"
"于1999年6月毕业于中山大学国际贸易专业,取得经济学学士学位,于2000年9月毕业于英国爱丁堡大学运筹学专业,取得理学硕士学位,于2001年7月毕业于英国剑桥大学发展研究专业,取得哲学硕士学位",中山大学,2,2,0,0,[],[],[]
"于1999年6月毕业于中山大学国际贸易专业,取得经济学学士学位,于2000年9月毕业于英国爱丁堡大学运筹学专业,取得理学硕士学位,于2001年7月毕业于英国剑桥大学发展研究专业,取得哲学硕士学位",剑桥大学,2,2,0,0,[],[],[]
"檀国彪先生,1961年10月生,中共党员,研究生学历,合肥工业大学硕士学位,长江商学院EMBA,高级工程师",合肥工业大学,3,2,1,1,"[""硕士""]",[],[]
"檀国彪先生,1961年10月生,中共党员,研究生学历,合肥工业大学硕士学位,长江商学院EMBA,高级工程师",长江商学院,3,2,1,0,[],[],"[""MBA""]"
