_id,code,actualController,actualControllerType
5f4adead2018c1179b9dd5be,600722,河北省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5c0,600724,宁波市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5d5,600745,张学政,个人
5f4adead2018c1179b9dd5eb,600770,昝圣达,个人
5f4adead2018c1179b9dd5f7,600783,山东省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd606,600801,LafargeHolcimLtd,境外
5f4adead2018c1179b9dd611,600814,杭州市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd622,600831,中共陕西省委宣传部,地方政府
5f4adead2018c1179b9dd62e,600846,中华人民共和国教育部,中央国家机关
5f4adead2018c1179b9dd3c8,600113,温州市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd425,600221,海南省政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd434,600237,应建仁、徐美儿,个人
5f4adead2018c1179b9dd43a,600246,王忆会,个人
5f4adead2018c1179b9dd43f,600251,新疆生产建设兵团农业建设第二师,地方政府
5f4adead2018c1179b9dd45c,600287,江苏省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd462,600293,许锡忠,个人
5f4adead2018c1179b9dd46a,600303,张秀根,个人
5f4adead2018c1179b9dd484,600332,广州市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4a9,600378,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4b6,600392,中华人民共和国财政部,中央国家机关
5f4adead2018c1179b9dd4e2,600466,杨铿,个人
5f4adead2018c1179b9dd4eb,600479,株洲市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd515,600528,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd52e,600559,衡水市财政局,地方政府
5f4adead2018c1179b9dd531,600562,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd534,600566,曹龙祥,个人
5f4adead2018c1179b9dd53b,600573,北京市人民政府,地方政府
5f4adead2018c1179b9dd53c,600575,安徽省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd53d,600576,俞发祥,个人
5f4adead2018c1179b9dd547,600586,丁茂良,个人
5f4adead2018c1179b9dd568,600622,中央汇金投资有限责任公司,中央国有企业
5f4adead2018c1179b9dd570,600634,颜静刚,个人
5f4adead2018c1179b9dd57c,600647,中华人民共和国财政部,中央国家机关
5f4adead2018c1179b9dd589,600662,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5c1,600725,云南省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5ca,600734,郑州航空港经济综合实验区管理委员会,地方政府
5f4adead2018c1179b9dd5db,600753,梁衍锋,个人
5f4adead2018c1179b9dd5e2,600760,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5ef,600775,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5fe,600792,云南省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd615,600818,陈荣,个人
5f4adead2018c1179b9dd625,600835,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd626,600836,王爱红,个人
5f4adead2018c1179b9dd3bc,600100,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3c0,600105,莫林弟、莫思铭,个人
5f4adead2018c1179b9dd3c6,600111,内蒙古自治区人民政府,地方政府
5f4adead2018c1179b9dd3c7,600112,潘琦,个人
5f4adead2018c1179b9dd3cb,600116,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3d9,600131,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3f7,600168,武汉市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd411,600198,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd435,600238,王贵海,个人
5f4adead2018c1179b9dd43b,600247,李冬,个人
5f4adead2018c1179b9dd44f,600272,上海市静安区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd456,600280,祝义财,个人
5f4adead2018c1179b9dd459,600283,水利部综合事业局,中央国家机关
5f4adead2018c1179b9dd48a,600339,中国石油天然气集团有限公司,中央国有企业
5f4adead2018c1179b9dd48c,600343,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd498,600359,新疆生产建设兵团第一师国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4b5,600391,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4be,600403,河南省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4bf,600405,何振亚,个人
5f4adead2018c1179b9dd4c5,600416,湖南省国有资产管理委员会,地方国资委
5f4adead2018c1179b9dd4cf,600429,北京市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4ec,600480,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4f0,600486,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4f8,600496,方朝阳,个人
5f4adead2018c1179b9dd502,600507,方威,个人
5f4adead2018c1179b9dd506,600511,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd532,600563,厦门市法拉发展总公司职工代表大会,集体企业
5f4adead2018c1179b9dd554,600600,青岛市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd564,600618,上海国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd56e,600630,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd57f,600650,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd58c,600665,西安高新区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd598,600682,袁亚非,个人
5f4adead2018c1179b9dd599,600683,北京市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd59b,600685,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd59e,600688,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5bb,600719,大连市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5c8,600732,陈刚,个人
5f4adead2018c1179b9dd5e0,600758,辽宁省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3b7,600095,黄伟,个人
5f4adead2018c1179b9dd3da,600132,CARLSBERGFOUNDATION,境外
5f4adead2018c1179b9dd3e7,600150,国务院国有资产监督管理委员会,国资委
