_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,actualParticipated,specificProjects,subsidyAmounts,comment,location,codedBy
"""601b8f5935b23ba031137b28""",一带一路（19年之前）,年度报告,2018,隆华科技：2018年年度报告摘要,300263.SZ,隆华科技,制造业,通用设备制造业,河南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300263/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b2a""",一带一路（19年之前）,年度报告,2018,网宿科技：2018年年度报告,300017.SZ,网宿科技,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300017/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b2b""",一带一路（19年之前）,年度报告,2018,东方中科：2018年年度报告,002819.SZ,东方中科,电力、热力、燃气及水的生产和供应业,批发业,北京市,中央国家机关,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002819/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b2c""",一带一路（19年之前）,年度报告,2018,微光股份：2018年年度报告,002801.SZ,微光股份,制造业,电气机械及器材制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002801/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b2d""",一带一路（19年之前）,年度报告,2018,兴森科技：2018年年度报告,002436.SZ,兴森科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002436/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b2e""",一带一路（19年之前）,年度报告,2018,辉煌科技：2018年年度报告,002296.SZ,辉煌科技,制造业,计算机、通信和其他电子设备制造业,河南省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002296/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b2f""",一带一路（19年之前）,年度报告,2018,中材科技：2018年年度报告,002080.SZ,中材科技,制造业,非金属矿物制品业,江苏省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002080/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b31""",一带一路（19年之前）,年度报告,2018,西安饮食：2018年年度报告,000721.SZ,西安饮食,住宿和餐饮业,餐饮业,陕西省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000721/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b34""",一带一路（19年之前）,年度报告,2018,银龙股份：2018年年度报告,603969.SH,银龙股份,制造业,金属制品业,天津市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603969/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b36""",一带一路（19年之前）,年度报告,2018,中信建投：2018年年度报告,601066.SH,中信建投,金融业,资本市场服务,北京市,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601066/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b38""",一带一路（19年之前）,年度报告,2018,中航高科：2018年年度报告,600862.SH,中航高科,制造业,铁路、船舶、航空航天和其它运输设备制造业,江苏省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600862/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b39""",一带一路（19年之前）,年度报告,2018,山鹰国际：2018年年度报告,600567.SH,山鹰国际,制造业,造纸及纸制品业,安徽省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600567/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b3a""",一带一路（19年之前）,年度报告,2018,*ST灿坤B：2018年年度报告,200512.SZ,*ST灿坤B,,,,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/200512/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b3c""",一带一路（19年之前）,年度报告,2018,泰嘉股份：2018年年度报告,002843.SZ,泰嘉股份,制造业,金属制品业,湖南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002843/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b3e""",一带一路（19年之前）,年度报告,2018,招商蛇口：2018年年度报告,001979.SZ,招商蛇口,房地产业,房地产业,广东省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/001979/page_type/ndbg.phtml,,,,,,
"""601b8f6d35b23ba031137b40""",一带一路（19年之前）,年度报告,2018,鞍钢股份：2018年年度报告,000898.SZ,鞍钢股份,制造业,黑色金属冶炼及压延加工业,辽宁省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000898/page_type/ndbg.phtml,,,,,,
