stockCode,stockName,controller,originalControllerType,newControllerType,hasForeignController,clean
002792.SZ,通宇通讯,吴中林、时桂清,个人,个人;境外,1,个人;
002811.SZ,郑中设计,郑忠、邱艾,个人,境外,1,
002812.SZ,恩捷股份,李晓明、SherryLee、JerryYangLi、李晓华、惠雁阳、马燕,个人,境外,1,
002819.SZ,东方中科,中国科学院,中央国家机关,中央国有企业,,中央国有企业
002823.SZ,凯中精密,吴瑛、张浩宇,个人,个人;境外,1,个人;
002830.SZ,名雕股份,,,个人,,个人
002836.SZ,新宏泽,孟学、张宏清,个人,境外,1,
002841.SZ,视源股份,黄正聪、王毅然、孙永辉、于伟、周开琪、尤天远,个人,境外;个人,1,;个人
002855.SZ,捷荣技术,赵晓群,个人,境外,1,
002865.SZ,钧达股份,陆小红、陆惠芬、陆徐杨、徐卫东、徐勇、陆小文、陆玉红、徐晓平、杨仁元,个人,个人;境外,1,个人;
002888.SZ,惠威科技,HONGBOYAO、HUIFANGCHEN,个人,境外,1,
002907.SZ,华森制药,游谊竹、游洪涛、王瑛,个人,境外;个人,1,;个人
002916.SZ,深南电路,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
002921.SZ,联诚精密,郭元强,个人,境外,1,
002925.SZ,盈趣科技,吴凯庭,个人,境外,1,
002946.SZ,新乳业,LiuChang、刘永好,个人,境外;个人,1,;个人
002950.SZ,奥美医疗,崔金海、万小香、崔辉、崔星炜,个人,境外;个人,1,;个人
002952.SZ,亚世光电,贾继涛,个人,境外,1,
002955.SZ,鸿合科技,邢修青、王京、邢正、张树江,个人,个人;境外,1,个人;
002956.SZ,西麦食品,谢庆奎、李骥、谢俐伶、胡日红、谢世谊、谢玉菱、谢金菱,个人,境外;个人,1,;个人
002957.SZ,科瑞技术,潘利明,个人,境外,1,
002959.SZ,小熊电器,李一峰、张红、龙少宏,个人,个人;境外,1,个人;
002969.SZ,嘉美包装,陈民、厉翠玲,个人,境外,1,
002988.SZ,豪美新材,李雪琴、董卫东、董卫峰,个人,个人;境外,1,个人;
300006.SZ,莱美药业,广西壮族自治区人民政府国有资产监督管理委员会,地方国资委,个人,,个人
300062.SZ,中能电气,陈曼虹、陈添旭、吴昊,个人,个人;境外,1,个人;
300068.SZ,南都电源,周庆治,个人,境外,1,
300138.SZ,晨光生物,,,个人,,个人
300153.SZ,科泰电源,严伟立、谢松峰、戚韶群、马恩曦,个人,个人;境外,1,个人;
300178.SZ,腾邦国际,钟百胜,个人,境外,1,
300183.SZ,东软载波,,,个人,,个人
300184.SZ,力源信息,赵马克,个人,境外,1,
300242.SZ,佳云科技,郭英成、郭英智,个人,境外,1,
300260.SZ,新莱应材,李水波、申安韵,个人,境外,1,
300261.SZ,雅本化学,蔡彤、汪新芽、毛海峰、王卓颖、马立凡,个人,个人;境外,1,个人;
300279.SZ,和晶科技,,,个人,,个人
300300.SZ,海峡创新,平潭综合实验区国有资产管理局,地方政府,地方国资委,,地方国资委
300317.SZ,珈伟新能,丁孔贤、李雳、丁蓓,个人,个人;境外,1,个人;
300327.SZ,中颖电子,傅启明,个人,境外,1,
300341.SZ,麦克奥迪,陈沛欣,个人,境外,1,
300342.SZ,天银机电,佛山市南海区国有资产监督管理局,地方政府,地方国资委,,地方国资委
300357.SZ,我武生物,胡赓熙、陈燕霓,个人,个人;境外,1,个人;
300359.SZ,全通教育,陈炽昌、林小雅,个人,,,
300382.SZ,斯莱克,安旭,个人,境外,1,
300385.SZ,雪浪环境,杨建平、许惠芬,个人,地方政府,,地方政府
300388.SZ,国祯环保,李炜,个人,国资委,,国资委
