sentence,keywords,parent,level,name,title,stockName,stockCode,degrees,positions,mbas,totalCount
"潘波先生,1976年3月出生,北京航空航天大学机电工程学士,中欧工商管理学院EMBA","[""北京航空航天大学""]","潘波先生,1976年3月出生,北京航空航天大学机电工程学士,中欧工商管理学院EMBA",1,潘波,"董事会秘书,副总经理",飞亚达,000026,"[""本科""]",[],"[""MBA"",""管理学"",""工商管理""]",4
"刘标,男,1973年10月出生,拥有厦门大学国际会计学士学位、同济大学工商管理硕士学位(MBA)、比利时联合商学院工商管理博士学位(DBA)、高级会计师和中国注册会计师资格","[""同济大学""]","刘标,男,1973年10月出生,拥有厦门大学国际会计学士学位、同济大学工商管理硕士学位(MBA)、比利时联合商学院工商管理博士学位(DBA)、高级会计师和中国注册会计师资格",1,刘标,董事,沙河股份,000014,"[""博士"",""本科"",""硕士""]",[],"[""MBA"",""工商管理""]",5
孙先生于2005年获得西安交通大学工学博士学位,"[""西安交通大学""]",孙先生于2005年获得西安交通大学工学博士学位,1,孙盛典,独立董事,深康佳Ａ,000016,"[""博士""]",[],[],1
"陈勇,男,汉族,1970年1月出生,中共党员,1991年7月本科毕业于安徽大学,1994年7月硕士毕业于中国人民大学","[""中国人民大学""]","陈勇,男,汉族,1970年1月出生,中共党员,1991年7月本科毕业于安徽大学,1994年7月硕士毕业于中国人民大学",1,陈勇,"董事长,董事",沙河股份,000014,"[""本科"",""硕士""]",[],[],2
"于1995年9月毕业于华西医科大学(现更名四川大学华西医学中心),并于2007年12月获得东华大学工商管理硕士学位","[""四川大学""]","于1995年9月毕业于华西医科大学(现更名四川大学华西医学中心),并于2007年12月获得东华大学工商管理硕士学位",1,文德镛,监事会主席,国药一致,000028,"[""硕士""]",[],"[""工商管理""]",2
"冯斌,男,汉族,1970年11月出生,中共预备党员,1992年7月本科毕业于哈尔滨工业大学,2001年9月硕士毕业于华中科技大学","[""哈尔滨工业大学""]","冯斌,男,汉族,1970年11月出生,中共预备党员,1992年7月本科毕业于哈尔滨工业大学,2001年9月硕士毕业于华中科技大学",1,冯斌,副总经理,沙河股份,000014,"[""本科"",""硕士""]",[],[],2
"张丕杰先生,1961年2月生,黑龙江鸡西人,1983年8月参加工作,1988年4月加入中国共产党,东北重型机械学院金属材料及热处理专业本科毕业、工学学士,哈尔滨工业大学工程硕士,高级经济师","[""哈尔滨工业大学""]","张丕杰先生,1961年2月生,黑龙江鸡西人,1983年8月参加工作,1988年4月加入中国共产党,东北重型机械学院金属材料及热处理专业本科毕业、工学学士,哈尔滨工业大学工程硕士,高级经济师",1,张丕杰,"董事长,董事",富奥股份,000030,"[""本科"",""硕士""]",[],[],2
"刘晓明先生,1971年7月出生,工程师、经济师,北京航空航天大学机械工程学士,中欧工商管理学院EMBA","[""北京航空航天大学""]","刘晓明先生,1971年7月出生,工程师、经济师,北京航空航天大学机械工程学士,中欧工商管理学院EMBA",1,刘晓明,副总经理,飞亚达,000026,"[""本科""]",[],"[""MBA"",""管理学"",""工商管理""]",4
"杨斌:男,1972年4月出生,硕士,毕业于西安交通大学","[""西安交通大学""]","杨斌:男,1972年4月出生,硕士,毕业于西安交通大学",1,杨斌,"副总经理,财务总监",深华发Ａ,000020,"[""硕士""]",[],[],1
"李江明,男,汉族,1983年6月出生,中共党员,2006年7月本科毕业于武汉科技大学,2015年7月硕士毕业于西安交通大学","[""西安交通大学""]","李江明,男,汉族,1983年6月出生,中共党员,2006年7月本科毕业于武汉科技大学,2015年7月硕士毕业于西安交通大学",1,李江明,监事会主席,沙河股份,000014,"[""本科"",""硕士""]",[],[],2
"黄勇峰先生,1974年5月出生,高级工程师,北京航空航天大学管理工程硕士,中欧国际工商学院EMBA","[""北京航空航天大学""]","黄勇峰先生,1974年5月出生,高级工程师,北京航空航天大学管理工程硕士,中欧国际工商学院EMBA",1,黄勇峰,"董事长,董事",飞亚达,000026,"[""硕士""]",[],"[""MBA""]",2
"汪名川，男，1966年出生，同济大学管理工程专业硕士、中欧国
际工商学院EMBA，高级会计师","[""同济大学""]","汪名川，男，1966年出生，同济大学管理工程专业硕士、中欧国
际工商学院EMBA，高级会计师",1,汪名川,董事,飞亚达,000026,"[""硕士""]",[],"[""MBA""]",2
"郭锋锐,男,1968年11月出生,中国人民大学技术经济专业经济学硕士、企业管理专业经济学博士,高级经济师","[""中国人民大学""]","郭锋锐,男,1968年11月出生,中国人民大学技术经济专业经济学硕士、企业管理专业经济学博士,高级经济师",1,郭锋锐,总经理助理,大悦城,000031,"[""博士"",""硕士""]",[],[],2
"周剑先生,48岁,中国国籍,毕业于中国人民大学法学院国际经济法专业,法学硕士","[""中国人民大学""]","周剑先生,48岁,中国国籍,毕业于中国人民大学法学院国际经济法专业,法学硕士",1,周剑,"董事长,董事",深科技,000021,"[""硕士""]",[],[],1
"许雄:男,1968年出生,同济大学工商管理硕士","[""同济大学""]","许雄:男,1968年出生,同济大学工商管理硕士",1,许雄,董事,全新好,000007,"[""硕士""]",[],"[""工商管理""]",2
"钟洪明先生,1975年1月出生,毕业于中国人民大学,法学博士","[""中国人民大学""]","钟洪明先生,1975年1月出生,毕业于中国人民大学,法学博士",1,钟洪明,独立董事,飞亚达,000026,"[""博士""]",[],[],1
"付德斌,男,1977年2月出生,,中国国籍,无境外永久居留权,北京航空航天大学工学硕士与工学博士","[""北京航空航天大学""]","付德斌,男,1977年2月出生,,中国国籍,无境外永久居留权,北京航空航天大学工学硕士与工学博士",1,付德斌,董事,深天马Ａ,000050,"[""博士"",""硕士""]",[],[],2
"曾任中国航空技术国际控股有限公司行政管理部部长、经理部副部长,北京航空航天大学党政办公室副主任、动力学院党总支副书记,北京航空航天大学动力学院学生工作负责人、动力学院党总支副书记、党政办公室副主任,中航国际经理部副部长、行政管理部部长","[""北京航空航天大学""]","曾任中国航空技术国际控股有限公司行政管理部部长、经理部副部长,北京航空航天大学党政办公室副主任、动力学院党总支副书记,北京航空航天大学动力学院学生工作负责人、动力学院党总支副书记、党政办公室副主任,中航国际经理部副部长、行政管理部部长",1,付德斌,董事,深天马Ａ,000050,[],"[""主任""]",[],1
"莫建民,性别:男,出生年月:1966年4月,民族:汉,学历:本科,莫建民先生为中国注册会计师,毕业于南昌大学法律专业,曾先后在江西省铜鼓县税务局和铜鼓县地方税务局、深圳同人会计师事务所、中天勤会计师事务所、深圳市兰光企业集团、深圳金牛会计师事务所、中天运会计师事务所深圳分所、北京永拓会计师事务所工作,现为大华会计师事务所合伙人","[""南昌大学""]","莫建民,性别:男,出生年月:1966年4月,民族:汉,学历:本科,莫建民先生为中国注册会计师,毕业于南昌大学法律专业,曾先后在江西省铜鼓县税务局和铜鼓县地方税务局、深圳同人会计师事务所、中天勤会计师事务所、深圳市兰光企业集团、深圳金牛会计师事务所、中天运会计师事务所深圳分所、北京永拓会计师事务所工作,现为大华会计师事务所合伙人",1,莫建民,独立董事,深南电A,000037,"[""本科""]",[],[],1
"男,1965年出生,四川大学化工机械专业,中国科技大学MBA","[""四川大学""]","男,1965年出生,四川大学化工机械专业,中国科技大学MBA",1,黄志良,董事,东旭蓝天,000040,[],[],"[""MBA""]",1
"王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权","[""北京航空航天大学""]","王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权",1,王宝瑛,监事会主席,深天马Ａ,000050,"[""本科""]","[""研究员""]","[""MBA""]",3
"陆明,男,44岁,获西安交通大学工学学士学位","[""西安交通大学""]","陆明,男,44岁,获西安交通大学工学学士学位",1,陆明,副总裁,神州数码,000034,"[""本科""]",[],[],1
"龙光明先生,男,1983年出生,毕业于石家庄经济学院及中国人民大学,获法学学士学位及民商法学硕士学位,北京大学汇丰商学院EMBA在读,具有法律职业资格证书(A证)、证券从业资格证","[""中国人民大学""]","龙光明先生,男,1983年出生,毕业于石家庄经济学院及中国人民大学,获法学学士学位及民商法学硕士学位,北京大学汇丰商学院EMBA在读,具有法律职业资格证书(A证)、证券从业资格证",1,龙光明,监事会主席,皇庭国际,000056,"[""本科"",""硕士""]",[],"[""MBA""]",3
"赵晓建,男,1973年出生,北京航空航天大学流体传动与控制专业","[""北京航空航天大学""]","赵晓建,男,1973年出生,北京航空航天大学流体传动与控制专业",1,赵晓建,董事,深 赛 格,000058,[],[],[],0
"1981年1月起在广东工业大学(前身为广东机械学院)任职,历任机械系教师、机电教研室主任、副教授、研究所所长、教授、信息工程学院副院长等职,现任广东工业大学教授、机电工程学院系主任","[""广东工业大学""]","1981年1月起在广东工业大学(前身为广东机械学院)任职,历任机械系教师、机电教研室主任、副教授、研究所所长、教授、信息工程学院副院长等职,现任广东工业大学教授、机电工程学院系主任",1,吴黎明,独立董事,德赛电池,000049,[],"[""教授"",""院长"",""教师"",""主任"",""所长""]",[],5
"董海,男,1968年1月出生,北京航空航天大学动力系热能工程专业,工学学士","[""北京航空航天大学""]","董海,男,1968年1月出生,北京航空航天大学动力系热能工程专业,工学学士",1,董海,董事,深天马Ａ,000050,"[""本科""]",[],[],1
