keyword,description
党代表,"叶旦旺先生,男,1962年出生,中国国籍,无永久境外居留权,工程硕士,高级工程师。曾任贵州省贵阳铝镁设计研究院工程师,锦州铁合金厂钛白粉分厂车间副主任;1995年加入三祥新材股份有限公司,任总工程师。现任三祥新材股份有限公司董事、技术总监、福建三祥新材料研究院有限公司经理。叶旦旺先生主持完成了公司的省重点科研项目“一步法熔炼二氧化锆颗粒”、“非熔配法节能型包芯线”、“节能单炉法熔炼稳定型二氧化锆”以及两项国家火炬计划项目“单晶电熔铝晶粒控制技术”和“电熔法熔炼高纯氧化锆研发”的研发工作,取得了一系列重大成果,2008年获“宁德市第二届市管优秀人才”称号,2011年荣获“全国五一劳动奖章”,2012年获得福建省首届“海西产业人才高地创新团队领军人才”称号,2014年成为享受国务院政府特殊津贴专家,2017年光荣当选为全国党代表,出席中国共产党全国第十九次党代会。"
党代表,"白云龙,男,汉族,1982年出生,中国国籍,无境外永久居留权,清华大学汽车工程系动力工程及工程热物理专业博士研究生,福建省百人计划创新人才,龙岩市第五届党代表;曾先后任职于重庆长安汽车股份有限公司动力研究院、产品策划部,历任工程师、室主任、处长助理、产品经理等职;2015年9月起任职于福建龙马环卫装备股份有限公司,现任福建龙马环卫装备股份有限公司副总经理、福建龙马环卫装备销售有限公司总经理。"
入党,"何国胜,男,1968年5月出生,硕士研究生学历。硕士研究生毕业于哈尔滨工业大学仪表与测试系统专业,1990年8月参加工作,1990年入党,现任中国运载火箭技术研究院产业发展部部长。历任101所副所长,中国运载火箭技术研究院经营投资部副部长等职务。"
党代表,"冯震远:男,1965年生,中国国籍,无境外永久居留权,硕士学历,一级律师。现任浙江百家律师事务所合伙人、主任,中华全国律师协会理事,嘉兴市党代表、人大代表,浙江省高级人才专家库入选人员;2017年12月至今担任公司独立董事。"
党代表,"吕振亚,男,中国国籍,1965年出生,大学专科,经济师,中共南京市栖霞区第九届党代表。曾任江苏苏中农药化工厂副厂长;2003年至2013年,任江苏龙蟠石化有限公司副总经理;2014年1月,担任江苏龙蟠科技股份有限公司副总经理至今。"
党代表,"张佩莉女士,董事、常务副总经理,1963年7月出生,中国国籍,无境外永久居留权,高中学历,工程师、高级经济师职称。曾任霞浦礁碶电配厂会计,宁波市北仑汽车塑料风扇厂销售科长,宁波雪龙汽车风扇厂销售科长,群频电子及前身宁波雪龙汽车风扇制造有限公司销售科长,雪龙有限副总经理,曾任北仑区第六届政协委员,北仑区第六届、第七届党代表。现任雪龙股份董事、常务副总经理,雪龙进出口执行董事,雪龙创新中心理事长、中国香港绿源董事。"
党代表,"冯震远:男,1965年生,中国国籍,无境外永久居留权,硕士学历,一级律师。现任浙江百家律师事务所合伙人、主任,中华全国律师协会理事,嘉兴市党代表、人大代表,浙江省高级人才专家库入选人员;2017年12月至今担任公司独立董事。"
党代表,"冯震远:男,1965年生,中国国籍,无境外永久居留权,硕士学历,一级律师。现任浙江百家律师事务所合伙人、主任,中华全国律师协会理事,嘉兴市党代表、人大代表,浙江省高级人才专家库入选人员;2017年12月至今担任公司独立董事。"
入党,"陈文龙:男,汉族,1964年4月出生,江苏姜堰人,1996年6月入党,1984年8月参加工作,高级工程师,大学学历。2011年5月至2012年6月任林海股份有限公司副总经理;2012年6月至2014年3月任林海股份有限公司总经理;2014年3月至2017年8月任江苏林海动力机械集团有限公司副总经理;2017年8月至2018年12月任江苏林海动力机械集团有限公司副董事长;2018年12月至2020年9月任江苏林海动力机械集团有限公司副董事长、党委副书记;2020年9月至今任江苏林海动力机械集团有限公司党委副书记。"
入党,"李升高:男,汉族,1976年6月出生,江西信丰人,1998年8月入党,2000年8月参加工作,高级会计师,研究生学历,会计学硕士。2010年11月至2014年4月任北人集团公司财务总监、党委委员兼财务部部长,北人印刷机械股份有限公司董事;2014年4月至2018年7月任中国地质装备集团有限公司财务总监;2018年7月至2019年2月任中国地质装备集团有限公司财务总监兼任中机高科环境资源装备有限公司总经理;2019年2月至2020年7月任中国地质装备集团有限公司财务总监兼任中机高科环境资源装备有限公司董事长、总经理;2020年7月至今任中国福马机械集团有限公司财务总监。"
入党,"陆莹:男,汉族,1973年11月出生,江苏泰州人,2008年6月入党,1996年9月参加工作,高级工程师,大学学历。2017年8月至2019年12月任江苏林海动力机械集团有限公司总经理;2019年12月至今任江苏林海动力机械集团有限公司总经理、党委副书记。"
入党,"黄文军:男,汉族,1969年2月出生,江苏泰州人,2004年6月入党,1991年8月参加工作,高级工程师,大学文化,工学学士。2006年5月至2009年5月任林海股份有限公司副总经理;2009年5月至2011年5月,任江苏联海动力机械有限公司常务副总经理、总经理;2011年5月至2017年7月任江苏林海动力机械集团公司副总经理;2017年8月至2018年11月任江苏林海动力机械集团有限公司副董事长,林海股份有限公司总经理;2018年11月至2019年10月任中国福马机械集团有限公司总经理助理;2019年11月至2020年7月任中国福马机械集团有限公司总经理助理兼企业管理部部长;2020年7月至今任中国福马机械集团有限公司副总经理兼企业管理部部长。"
入党,"卢中华,男,汉族,1966年10月出生,浙江金华人,1989年5月入党,1990年4月参加工作,高级工程师,研究生学历。2006年5月至2014年3月任林海股份有限公司副总经理;2014年3月至2015年5月任苏州苏福马机械有限公司副总经理;2015年5月至2015年12月任江苏林海动力机械集团公司副总经理;2015年12至2018年12月任江苏林海动力机械集团有限公司党委副书记、纪委书记;2017年10月至2018年11月任林海股份有限公司监事会主席;2018年12月至今任江苏林海动力机械集团有限公司党委书记。"
入党,"刘庆阁先生,男,汉族,1965年10月生,黑龙江绥化市人,1987年7月参加工作,1995年12月入党,上海交通大学精密仪器专业毕业,本科学历。1983.09-1987.07上海交通大学精密仪器系精密仪器专业学生;1987.07-1988.08第七〇三研究所第八研究室见习生;1988.08-1997.08第七〇三研究所第八研究室;1997.08-2000.06第七〇三研究所第八研究室室主任助理;2000.06-2003.11第七〇三研究所第八研究室室主任兼支部书记;2003.11-2006.03第七〇三研究所第八研究室室主任兼支部书记;2006.04-2014.12第七〇三研究所自动控制事业部部长兼支部书记;2014.12-2017.08第七〇三研究所安防及控制事业部部长兼支部书记;2017.08-2020.04第七〇三研究所产业发展部部长兼自动控制事业部部长产业及自控联合党支部书记、哈尔滨广瀚动力技术发展有限公司副总经理;2020.04-至今哈尔滨广瀚动力技术发展有限公司总经理、第七〇三研究所产业发展部部长兼党支部书记;2017.08-至今哈尔滨广瀚燃气轮机有限公司董事,哈尔滨广瀚新能动力有限公司董事,江苏永瀚特种合金技术有限公司监事。"
党代表,"范时杰先生,1982年9月生,中国青年政治学院公共管理系本科,法学学士、北京师范大学政治学与国际关系学院,法学博士。曾任北京师范大学教授、博士生导师、硕士生导师,珠海分校社会学系主任、社会发展研究中心主任,珠海市--北师大社会治理研究重点基地主任,中共珠海市委副秘书长、市幸福村居办第一副主任,市委农办副主任、扶贫办主任、政研室副主任。广东省人大代表、党代表,珠海市党代表、香洲区政协常委,中共珠海市社工协党委书记。广东奥园科技集团有限公司副总裁、广东奥园城市更新集团有限公司副总裁。"
