tinySentence,matches
党委委员,"[""委员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党群人事部部长,"[""部长""]"
党委办公室主任,"[""主任""]"
中国共产党党员,"[""党员""]"
中共党员,"[""党员""]"
院团委书记,"[""书记""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
党委委员,"[""委员""]"
党委副书记,"[""书记""]"
中国共产党党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
深圳市中金岭南有色金属股份有限公司党办副主任,"[""主任""]"
现任深圳市中金岭南有色金属股份有限公司党委委员,"[""委员""]"
党委委员,"[""委员""]"
党组书记,"[""书记""]"
1997年被中共深圳市委组织部确认为深圳市杰出专家,"[""专家""]"
1997年被中共深圳市委组织部确认为深圳市杰出专家,"[""专家""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
2014.06-2018.03任振华石油控股有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
党总支委员,"[""委员""]"
2016年4月至今任深圳南山热电股份有限公司党总支部书记,"[""书记""]"
2016年4月至今任深圳南山热电股份有限公司党总支部书记,"[""书记""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党委书记副院长,"[""书记""]"
党支部书记,"[""书记""]"
中国共产党党员,"[""党员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
深圳市特区建发海洋产业发展有限公司党支部副书记,"[""书记""]"
党委委员,"[""委员""]"
党委委员,"[""委员""]"
党委委员,"[""委员""]"
中共党员,"[""党员""]"
深圳分所党总支书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
兼任深圳市中金岭南有色金属股份有限公司纪委书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
马毅任控股股东深圳市投资控股有限公司之全资子公司深圳市公路客货运输服务中心有限公司党委副书记,"[""书记""]"
历任中国证监会山东证监局局长兼党委书记,"[""书记""]"
中共党员,"[""党员""]"
2016.04至今任锦西天然气化工有限责任公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
曾任深圳市国资办集体资产管理处(党办)副处长,"[""处长""]"
党委委员,"[""委员""]"
现任深圳市农产品股份有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
现任中远海运发展股份有限公司党委委员,"[""委员""]"
中海集团财务有限责任公司党总支书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党委书记,"[""书记""]"
纪委书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委办公室秘书,"[""秘书""]"
党委书记,"[""书记""]"
深圳远洋公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
市委驻深单位纪工委副书记,"[""书记""]"
市纪委派驻第七纪检监察组副组长,"[""组长""]"
市纪委派驻第四纪检组副组长,"[""组长""]"
现任深圳市农产品股份有限公司纪委书记,"[""书记""]"
中共党员,"[""党员""]"
现任中国长城计算机深圳股份有限公司纪委副书记,"[""书记""]"
审计监察室(纪委办)主任,"[""主任""]"
山西省财政厅党组联系专家,"[""专家""]"
华侨城北方投资有限公司党委书记,"[""书记""]"
历任深圳市旅游(集团)公司团委副书记,"[""书记""]"
团委书记,"[""书记""]"
深圳市国际旅行社党支部书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党委书记,"[""书记""]"
任深圳市天健(集团)股份有限公司党委书记,"[""书记""]"
党委委员(其间挂职任湖北省鄂州市政府副市长),"[""委员""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
现任中国长城科技集团股份有限公司纪委书记,"[""书记""]"
党委委员,"[""委员""]"
中电锦江信息产业有限公司纪委书记,"[""书记""]"
党委委员,"[""委员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
深圳团市委市属企业工委科员,"[""员""]"
深圳经济特区发展(集团)公司纪委书记,"[""书记""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党委副书记,"[""书记""]"
深圳市光明新区党工委副书记,"[""书记""]"
深圳市光明新区党工委书记,"[""书记""]"
现任深圳华强集团有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
现任中国北方工业有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
党群人事部经理,"[""经理""]"
任深圳市天健(集团)股份有限公司纪委书记,"[""书记""]"
中共党员,"[""党员""]"
2003年至2010年任深圳南山热电股份有限公司党总支书记,"[""书记""]"
2011年至今任深圳市广聚能源股份有限公司党委书记,"[""书记""]"
党委委员,"[""委员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
1993年6月至2004年4月任深圳机场(集团)公司团委干事,"[""干事""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
曾任广东广业投资集团有限公司党委委员,"[""委员""]"
现任中国南海石油联合服务总公司党委委员,"[""委员""]"
党委委员,"[""委员""]"
党委书记,"[""书记""]"
团委书记,"[""书记""]"
晋商银行股份有限公司大同分行党总支书记,"[""书记""]"
山西国投体育产业集团有限公司党委书记,"[""书记""]"
现任深圳市华融泰资产管理有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
现担任深圳市机场股份有限公司党委副书记,"[""书记""]"
2001年9月至2006年4月任深圳市地铁有限公司党群办文秘,"[""文秘""]"
2015年1月至2017年7月任深圳市机场股份有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
2017年7月起任深圳市机场股份有限公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
任南山区南头街道办事处党工委委员,"[""委员""]"
任南山区沙河街道办事处党工委委员,"[""委员""]"
中共党员,"[""党员""]"
2002年7月至2019年12月任深圳市科汇通投资控股有限公司党委委员,"[""委员""]"
党委书记,"[""书记""]"
党委组织部部长助理,"[""部长""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
2006年7月-2011年8月任深圳市盐田港集团有限公司团委书记,"[""书记""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
第一工程处团支部书记,"[""书记""]"
公司团委副书记,"[""书记""]"
特种机械处任党支部书记,"[""书记""]"
山西机械化建设集团公司党委书记,"[""书记""]"
现任山西机械化建设集团有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
1994年3月至1997年12月任深圳发展银行党委书记,"[""书记""]"
党委委员,"[""委员""]"
任南方证券有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党组成员,"[""员""]"
党委副书记,"[""书记""]"
2016年5月至今任深圳市盐田港集团有限公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
1998年7月至2002年6月任深圳市地铁有限公司党委委员,"[""委员""]"
2002年6月至2005年10月任深圳市地铁有限公司党委委员,"[""委员""]"
纪委书记,"[""书记""]"
2005年10月至2006年6月任深圳市地铁有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党委委员,"[""委员""]"
中共党员,"[""党员""]"
