match,sentence
"[{""keyword"":""党校"",""positionStart"":20,""positionEnd"":22},{""keyword"":""省委"",""positionStart"":18,""positionEnd"":20}]","陈立彬先生,1964年6月出生,广东省委党校经济学研究生,中山大学EMBA"
"[{""keyword"":""党委"",""positionStart"":83,""positionEnd"":85},{""keyword"":""党委"",""positionStart"":116,""positionEnd"":118},{""keyword"":""党委"",""positionStart"":141,""positionEnd"":143},{""keyword"":""区委"",""positionStart"":7,""positionEnd"":9},{""keyword"":""纪委"",""positionStart"":122,""positionEnd"":124}]","曾任深圳市福田区委组织部科员、副主任科员,广东发展银行深圳分行人事部副科长、科长、行长办公室综合室主任,深圳市投资管理公司人事部业务经理,深圳市国有资产监督管理委员会党委办公室主任科员、副主任、主任,深圳市机场(集团)有限公司董事、党委副书记、纪委书记,现任深圳能源集团股份有限公司党委副书记"
"[{""keyword"":""党委"",""positionStart"":131,""positionEnd"":133},{""keyword"":""党总支"",""positionStart"":122,""positionEnd"":125}]","孙启云,男,1954年出生,大学本科,高级工程师,曾任深圳妈湾电力有限公司妈湾电厂副总工兼运行总监、厂长助理、副厂长,深圳市能源集团有限公司发电分公司副经理,深圳市能源集团有限公司监事、纪检委委员,深圳市能源集团有限公司妈湾发电总厂常务副厂长兼党总支书记、厂长兼党委副书记,深圳市西部电力有限公司董事长,深圳市能源集团有限公司副总经理、安委会副主任"
"[{""keyword"":""党委"",""positionStart"":36,""positionEnd"":38},{""keyword"":""党委"",""positionStart"":82,""positionEnd"":84}]","1996年7月至2016年2月曾历任新疆新特药民族药公司总经理、董事长、党委书记,及新疆药业集团公司(现为国药集团新疆药业有限公司)董事、总经理、副董事长、董事长、党委书记"
"[{""keyword"":""党委"",""positionStart"":96,""positionEnd"":98},{""keyword"":""纪委"",""positionStart"":63,""positionEnd"":65}]","2012年10月至2014年1月兼任国药控股股份有限公司总法律顾问,2012年11月至2013年10月兼任国药控股股份有限公司纪委书记、工会主席,2012年11月起至今兼任国药控股股份有限公司党委副书记"
"[{""keyword"":""党委"",""positionStart"":78,""positionEnd"":80},{""keyword"":""党委"",""positionStart"":110,""positionEnd"":112},{""keyword"":""机关党委"",""positionStart"":167,""positionEnd"":171}]","曾先后担任河南省交通厅财务处科员,河南省地方铁路局计划财务处处长、河南省交通厅财务处副处长、河南公路发展有限公司总经理、河南中原高速公路股份有限公司董事长、党委副书记,河南交通投资集团有限公司总经理(正厅级)、副董事长、党委副书记、历任常务副总经理,河南省国有资产管理委员会监事会主席,阳光保险集团股份有限公司集团投资副总监、兼任集团机关党委书记、中华财务咨询有限公司副总经理"
"[{""keyword"":""党委"",""positionStart"":59,""positionEnd"":61},{""keyword"":""党委"",""positionStart"":86,""positionEnd"":88},{""keyword"":""纪委"",""positionStart"":64,""positionEnd"":66}]","历任一汽集团企业战略研究部信息室主任,一汽集团采购部部长,一汽集团采购部部长兼采购中心总经理,天津一汽丰田汽车有限公司党委书记、纪委书记、工会主席,天津一汽丰田汽车有限公司党委书记、常务副总经理"
"[{""keyword"":""党委"",""positionStart"":30,""positionEnd"":32},{""keyword"":""党支部"",""positionStart"":55,""positionEnd"":58},{""keyword"":""党支部"",""positionStart"":119,""positionEnd"":122},{""keyword"":""团委"",""positionStart"":15,""positionEnd"":17},{""keyword"":""团委"",""positionStart"":23,""positionEnd"":25},{""keyword"":""党办"",""positionStart"":77,""positionEnd"":79},{""keyword"":""纪委"",""positionStart"":89,""positionEnd"":91},{""keyword"":""党群"",""positionStart"":12,""positionEnd"":14},{""keyword"":""党群"",""positionStart"":43,""positionEnd"":45}]","深圳能源集团股份有限公司党群部团委副书记,公司团委书记,公司党委办公室临时负责人,公司党群办公室副主任、主任兼党支部书记,公司企业文化部总监,深圳市国资委党办负责人(挂职),公司纪委副书记,公司人力资源部总经理,公司人力资源部和产权管理部党支部书记,深圳市深能环保东部有限公司执行董事"
"[{""keyword"":""党委"",""positionStart"":96,""positionEnd"":98},{""keyword"":""纪委"",""positionStart"":102,""positionEnd"":104}]","魏晓东先生在深圳市政府部门工作多年,2008年进入深圳市国资委工作,历任深圳市国资委办公室副主任科员、主任科员,2014年6月任深圳市国资委办公室副主任,现任深圳市物业发展(集团)股份有限公司党委副书记,纪委书记"
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""机关党委"",""positionStart"":14,""positionEnd"":18}]",曾在太平洋人寿江西分公司担任机关党委书记、党委组织部部长、人力资源部经理等职
