match,sentence
"[{""keyword"":""党委"",""positionStart"":28,""positionEnd"":30},{""keyword"":""纪委"",""positionStart"":34,""positionEnd"":36},{""keyword"":""纪委"",""positionStart"":51,""positionEnd"":53}]",2018年2月至2019年4月任江苏联环药业集团有限公司党委副书记、纪委书记、江苏联环药业股份有限公司纪委书记
"[{""keyword"":""党委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""党委"",""positionStart"":38,""positionEnd"":40}]","历任西安凯信实业发展有限公司副总经理、总会计师、工会主席、党委委员,总经理、党委委员,英大国际信托有限责任公司固有资产管理部主任,上海业务部总经理,总经理助理兼办公室(董监办)主任,总经理助理兼风险控制部筹备组组长,副总经理等职"
"[{""keyword"":""党委"",""positionStart"":157,""positionEnd"":159},{""keyword"":""党委"",""positionStart"":245,""positionEnd"":247},{""keyword"":""党支部"",""positionStart"":139,""positionEnd"":142}]","历任国电自动化研究院系统研究所副所长、南京南瑞集团公司系统控制分公司副总经理,国网南京自动化研究院成套设备厂厂长、南京南瑞集团公司成套设备分公司总经理,国电南瑞科技股份有限公司副总经理,国网电力科学研究院后勤服务中心主任、综合服务中心主任,南京南瑞集团公司节能环保分公司总经理、党支部书记,国电南瑞科技股份有限公司党委书记、副总经理兼国电南瑞南京控制系统有限公司执行董事、总经理,安徽南瑞中天电力电子有限公司执行董事,北京南瑞捷鸿科技有限公司董事长,上海置信电气股份有限公司董事长、总经理、党委副书记等职"
"[{""keyword"":""党委"",""positionStart"":110,""positionEnd"":112},{""keyword"":""党委"",""positionStart"":194,""positionEnd"":196},{""keyword"":""党组"",""positionStart"":136,""positionEnd"":138},{""keyword"":""党组"",""positionStart"":153,""positionEnd"":155},{""keyword"":""党组"",""positionStart"":173,""positionEnd"":175},{""keyword"":""党总支"",""positionStart"":216,""positionEnd"":219},{""keyword"":""纪委"",""positionStart"":116,""positionEnd"":118}]","历任山东电力工业局财务部组长、科长,山东鲁能电力燃料公司副总会计师,鲁能金穗期货经纪有限公司财务总监,蔚深证券有限公司财务总监,英大国际信托投资有限公司副总经理兼蔚深证券有限公司财务总监、代理总裁、总裁,蔚深证券有限公司党委副书记、纪委书记,英大证券有限责任公司副总经理、党组成员,英大期货有限公司董事长、党组书记,中国电力财务有限公司副总经理、党组成员,英大长安保险经纪有限公司总经理、党委副书记,国网国际融资租赁有限公司董事长、党总支书记等职"
"[{""keyword"":""党支部"",""positionStart"":18,""positionEnd"":21},{""keyword"":""党支部"",""positionStart"":47,""positionEnd"":50},{""keyword"":""党支部"",""positionStart"":75,""positionEnd"":78}]","曾任贵州茅台酒股份有限公司制酒四车间党支部副书记、副主任,贵州茅台酒股份有限公司制酒二十三车间党支部书记、副主任,贵州茅台酒股份有限公司制酒二十五车间党支部书记、副主任"
"[{""keyword"":""党委"",""positionStart"":39,""positionEnd"":41},{""keyword"":""党委"",""positionStart"":60,""positionEnd"":62}]","1976年4月参加工作,曾任诸暨机床厂厂长助理、副厂长,浙江电除尘器总厂厂长兼党委书记,菲达集团有限公司董事长兼总经理、党委书记等职"
"[{""keyword"":""党委"",""positionStart"":86,""positionEnd"":88},{""keyword"":""党支部"",""positionStart"":38,""positionEnd"":41}]","曾任贵州茅台酒股份有限公司总经理助理、生产管理部主任、新车间筹备组组长、生产党支部书记,中国贵州茅台酒厂(集团)有限责任公司总经理助理,贵州茅台酒厂(集团)习酒有限责任公司党委副书记、董事、副董事长、总经理"
"[{""keyword"":""党委"",""positionStart"":59,""positionEnd"":61},{""keyword"":""党委"",""positionStart"":77,""positionEnd"":79}]","历任哈尔滨东安发动机(集团)有限公司人力资源部部长,哈尔滨航空工业(集团)有限公司组织部部长,哈飞汽车工业集团有限公司党委副书记,哈飞汽车工业集团有限公司党委书记、副董事长"
"[{""keyword"":""党委"",""positionStart"":26,""positionEnd"":28},{""keyword"":""机关党委"",""positionStart"":34,""positionEnd"":38}]","曾任中国贵州茅台酒厂(集团)有限责任公司总经理助理、党委办公室主任、机关党委书记、国安办公室主任、保密办公室主任、信访办公室主任,贵州茅台酒股份有限公司第二届监事会主席、监事"
"[{""keyword"":""党委"",""positionStart"":119,""positionEnd"":121},{""keyword"":""党组"",""positionStart"":76,""positionEnd"":78},{""keyword"":""党组"",""positionStart"":154,""positionEnd"":156},{""keyword"":""党组"",""positionStart"":175,""positionEnd"":177},{""keyword"":""党组"",""positionStart"":180,""positionEnd"":182}]","吴先生曾先后任华能上海石洞口第二电厂副厂长,华能国际电力开发公司上海分公司副经理主持工作,华能上海石洞口第二电厂厂长,华能国际电力股份有限公司副总经理、党组成员、董事,华能威海电厂、辛店电厂、日照电厂、新华电厂董事长,上海时代航运有限公司党委书记、董事,中国华能集团公司副总工程师兼集团公司华东分公司总经理、党组书记,华能国际电力开发公司总经理、主持党组工作的党组副书记,中国华能集团公司总经济师,华能上海燃机发电有限公司董事长、华能国际电力开发公司董事"
"[{""keyword"":""党委"",""positionStart"":81,""positionEnd"":83},{""keyword"":""党工委"",""positionStart"":21,""positionEnd"":24}]","曾任贵州省贵阳市副市长,贵州双龙临空经济区党工委副书记(分管常务工作)、管委会主任(法人代表),贵州省交通运输厅(省交通战备办公室)厅长(主任)、贵州省交通运输厅党委书记,贵州茅台酒股份有限公司第二届董事会董事长、董事"
"[{""keyword"":""纪委"",""positionStart"":12,""positionEnd"":14},{""keyword"":""纪委"",""positionStart"":38,""positionEnd"":40}]","曾任杭州钢铁集团有限公司纪委办公室主任、纪检监察室主任,杭州紫元置业有限公司纪委书记、监事会副主席等职务"
"[{""keyword"":""党委"",""positionStart"":22,""positionEnd"":24},{""keyword"":""党组"",""positionStart"":17,""positionEnd"":19}]",现任中国航空汽车系统控股有限公司分党组成员、党委副书记、纪检组长
"[{""keyword"":""党委"",""positionStart"":9,""positionEnd"":11},{""keyword"":""纪委"",""positionStart"":15,""positionEnd"":17}]","曾任中航工业勘察院党委副书记、纪委书记,中航第二集团公司纪检监察审计部副部长,中国航空工业集团公司纪检监察部副部长、高级专务"
"[{""keyword"":""党委"",""positionStart"":30,""positionEnd"":32},{""keyword"":""党校"",""positionStart"":32,""positionEnd"":34}]","现任中国贵州茅台酒厂(集团)有限责任公司人力资源社保处处长、党委党校(职工培训学校)副校长,贵州茅台酒股份有限公司第三届监事会职工监事、人力资源社保部主任"
"[{""keyword"":""党委"",""positionStart"":12,""positionEnd"":14},{""keyword"":""党委"",""positionStart"":37,""positionEnd"":39},{""keyword"":""党委"",""positionStart"":61,""positionEnd"":63},{""keyword"":""党委"",""positionStart"":83,""positionEnd"":85},{""keyword"":""纪委"",""positionStart"":42,""positionEnd"":44},{""keyword"":""纪委"",""positionStart"":66,""positionEnd"":68},{""keyword"":""纪委"",""positionStart"":88,""positionEnd"":90}]","曾任贵州省国资委办公室(党委办公室)主任,贵州盘江投资控股(集团)有限公司党委委员、纪委书记,贵州盘江国有资本运营有限公司党委委员、纪委书记,贵州盘江煤电集团有限公司党委委员、纪委书记,贵州茅台酒股份有限公司第二届董事会董事"
"[{""keyword"":""党组"",""positionStart"":13,""positionEnd"":15},{""keyword"":""党组"",""positionStart"":34,""positionEnd"":36}]","曾任贵州省水库和生态移民局党组成员、总会计师,贵州省水库和生态移民局党组成员、副局长,贵州茅台酒股份有限公司第二届董事会董事"
"[{""keyword"":""党委"",""positionStart"":20,""positionEnd"":22},{""keyword"":""党委"",""positionStart"":34,""positionEnd"":36}]","1971年参加工作,曾任南通市黄海建材厂党委书记、厂长,如东县河口镇党委副书记"
"[{""keyword"":""党委"",""positionStart"":27,""positionEnd"":29},{""keyword"":""党委"",""positionStart"":72,""positionEnd"":74},{""keyword"":""党委"",""positionStart"":91,""positionEnd"":93}]","2010年月5至2014年12月任中铁二局集团有限公司党委书记、中铁二局股份有限公司总经理2014年12月至2017年1月任中铁二局集团有限公司党委书记、董事长,中铁二局股份有限公司党委书记、总经理、副董事长"
"[{""keyword"":""中共"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党委"",""positionStart"":10,""positionEnd"":12}]","现任中国机械工程学会党委书记、理事长,曾任中共十七大代表,第十一届、第十二届全国人大代表,华中科技大学教授、博士生导师、机械学院院长、副校长、校长"
"[{""keyword"":""党工委"",""positionStart"":368,""positionEnd"":371},{""keyword"":""党工委"",""positionStart"":440,""positionEnd"":443}]","1983年7月加入铁道部隧道局一处,1997年4月至1998年8月任铁道部隧道局一处总工程师,1998年8月至1999年10月任铁道部隧道局一处副处长,1999年11月至2000年3月任铁道部隧道局施工技术处副部长,2000年4月至2002年2月任铁道部隧道局一处副处长(副总经理),2002年2月至2004年5月任中铁隧道局副总工程师兼工程部部长(2000年3月-2003年2月兼任铁道部隧道局广州盾构项目经理部经理),2004年5月至2006年7月任中铁隧道局总工程师,2006年7月至2008年10月任中铁隧道局副总经理、总工程师,2008年10月至2011年6月任中铁隧道局副总经理,2011年6月至2012年12月任中国中铁股份有限公司安全总监,2012年12月至2013年11月任中国中铁股份有限公司安全总监兼青岛地铁指挥部党工委书记、指挥长、青岛地铁2号线一期工程土建1标项目总部经理,2013年11月至2014年3月任中国中铁股份有限公司副总工程师兼青岛地铁指挥部党工委书记、指挥长,2014年3月至2014年8月任中国中铁股份有限公司青岛地铁指挥部指挥长,2014年8月至2014年12月任中国中铁股份有限公司副总工程师,2014年12月至2018年5月任中国中铁股份有限公司督导巡视六组组长,2018年5月至今任中国中铁股份有限公司派往所属企业专职董事监事"
"[{""keyword"":""党委"",""positionStart"":155,""positionEnd"":157},{""keyword"":""党委"",""positionStart"":195,""positionEnd"":197}]","谭顺辉先生于1991年参加工作,历任铁道部隧道工程局一处技术员、TBM施工掘进队队长、TBM公司经理、中铁隧道股份公司总经理助理、中铁隧道集团南疆铁路工程指挥部指挥长,2009年12月至2014年3月任中铁隧道装备制造有限公司副总经理、总经济师,2014年4月至2017年1月任中铁工程装备集团有限公司总经理、党委副书记、副董事长,2017年1月起至2020年5月任中铁工程装备集团有限公司党委书记、董事长,2020年5月起任中铁高新工业股份有限公司副总经理"
"[{""keyword"":""中共"",""positionStart"":34,""positionEnd"":36},{""keyword"":""中共"",""positionStart"":44,""positionEnd"":46},{""keyword"":""中共"",""positionStart"":107,""positionEnd"":109},{""keyword"":""中共"",""positionStart"":117,""positionEnd"":119},{""keyword"":""省委"",""positionStart"":38,""positionEnd"":40},{""keyword"":""省委"",""positionStart"":48,""positionEnd"":50},{""keyword"":""省委"",""positionStart"":59,""positionEnd"":61},{""keyword"":""省委"",""positionStart"":111,""positionEnd"":113},{""keyword"":""省委"",""positionStart"":121,""positionEnd"":123}]","蒋先生于1999年获得司法部全国“十佳律师”提名,于2001年获得由中共安徽省委组织部、中共安徽省委宣传部、共青团安徽省委员会、安徽省人事厅、安徽省青年联合会联合评选的“安徽省十大杰出青年”称号,于2008年获得由中共安徽省委组织部、中共安徽省委政法委员会、安徽省人事厅、安徽省法学会联合评选的“首届安徽省十位优秀中青年法学、法律专家”之“法律专家”称号"
"[{""keyword"":""党委"",""positionStart"":149,""positionEnd"":151},{""keyword"":""党委"",""positionStart"":188,""positionEnd"":190},{""keyword"":""党委"",""positionStart"":226,""positionEnd"":228}]","1982年加入铁道部隧道工程局第一工程处,2003年3月至2009年4月任中铁隧道集团有限公司副总经理,2009年4月至2010年11月任中铁隧道集团有限公司副总经理兼中铁隧道集团隧道设备制造公司董事长,2009年12月至2010年11月任中铁隧道集团有限公司副总经理、中铁隧道装备制造公司董事长、党委书记,2010年12月至2013年11月任中铁隧道装备制造有限公司董事长、党委书记,2013年12月至2017年1月任中铁工程装备集团有限公司董事长、党委书记"
"[{""keyword"":""党委"",""positionStart"":98,""positionEnd"":100},{""keyword"":""纪委"",""positionStart"":104,""positionEnd"":106}]","1983年参加工作,历任铁道部第三勘测设计院电信处助理工程师、工程师,院办公室秘书,中国铁路工程总公司办公室秘书,高级工程师,中铁国际集团办公室副主任、主任,社会事务部部长,中铁东方国际建设分公司党委副书记、纪委书记,现任中铁高新工业股份有限公司工会副主席、经审委主任、监事"
"[{""keyword"":""党委"",""positionStart"":117,""positionEnd"":119},{""keyword"":""党委"",""positionStart"":158,""positionEnd"":160},{""keyword"":""党委"",""positionStart"":196,""positionEnd"":198},{""keyword"":""纪委"",""positionStart"":123,""positionEnd"":125},{""keyword"":""纪委"",""positionStart"":164,""positionEnd"":166}]","1984年加入铁道部第三工程局,2004年7月至2007年3月任中铁三局集团有限公司劳动人事部部长,2007年3月至2008年3月任中铁三局集团有限公司副总经济师兼劳动人事部部长,2008年3月至2010年12月任中铁三局集团有限公司党委副书记、纪委书记,2010年12月至2017年1月任中铁上海工程局集团有限公司党委副书记、纪委书记、监事会主席,2017年1月起任中铁高新工业股份有限公司党委书记、董事长"
"[{""keyword"":""党委"",""positionStart"":120,""positionEnd"":122},{""keyword"":""党委"",""positionStart"":162,""positionEnd"":164},{""keyword"":""党委"",""positionStart"":204,""positionEnd"":206},{""keyword"":""党委"",""positionStart"":275,""positionEnd"":277}]","唐智奋先生于1985年加入铁道部武汉工程机械研究所,1997年5月至2001年5月任铁道部武汉工程机械研究所副所长,2001年6月至2002年6月任中铁工程机械研究设计院副院长,2002年6月至2002年10月任中铁工程机械研究设计院院长、党委副书记,2002年10月至2005年11月任中铁工程机械研究设计院有限公司院长、党委副书记,2005年11月至2008年3月任中铁工程机械研究设计院有限公司总经理、党委副书记、副董事长,2008年3月至2014年8月任中铁科工集团有限公司董事长,2014年8月至2017年1月任中铁科工集团有限公司董事长、党委书记,2017年1月起任中铁高新工业股份有限公司副总经理、总工程师"
"[{""keyword"":""党委"",""positionStart"":106,""positionEnd"":108},{""keyword"":""党组"",""positionStart"":126,""positionEnd"":128}]","曾任中国电子科技集团第二十九研究所工程师、一部副主任、科技发展部副主任、副总工程师、航天产品部主任、副所长,电子科学研究院(总体院)副院长,中国电子科技集团公司科技部副主任(主持工作)、主任,电子科学研究院院长、党委副书记,2018年9月至今任中国电子党组成员、副总经理"
"[{""keyword"":""党委"",""positionStart"":56,""positionEnd"":58},{""keyword"":""党委"",""positionStart"":72,""positionEnd"":74}]","创立金昇实业股份有限公司之前,分别担任太平洋集团上海纺织机件总厂钢领制造有限公司总经理、金坛市纺织机械总厂厂长兼党委书记、金坛华金机械总厂厂长兼党委书记、瑞士苏拉纺机集团前纺事业部首席执行官"
"[{""keyword"":""党委"",""positionStart"":15,""positionEnd"":17},{""keyword"":""党委"",""positionStart"":43,""positionEnd"":45}]","现任山西煤炭进出口集团有限公司党委委员、副董事长、总经理,山煤国际能源集团股份有限公司党委委员、董事长"
"[{""keyword"":""党委"",""positionStart"":8,""positionEnd"":10},{""keyword"":""党委"",""positionStart"":39,""positionEnd"":41}]","新疆第五师86团党委副书记、团长职务,现任新疆赛里木现代农业股份有限公司董事、党委书记、董事长"
"[{""keyword"":""党总支"",""positionStart"":43,""positionEnd"":46},{""keyword"":""党办"",""positionStart"":21,""positionEnd"":23}]","曾任甘肃莫高实业发展股份有限公司金昌麦芽厂党办主任,甘肃莫高实业发展股份有限公司制药厂党总支书记"
"[{""keyword"":""党委"",""positionStart"":19,""positionEnd"":21},{""keyword"":""党委"",""positionStart"":53,""positionEnd"":55}]","曾任山西焦煤集团国际贸易公司副董事长、党委副书记、总经理兼采购中心常务副主任,山煤国际能源集团股份有限公司党委书记、总经理"
"[{""keyword"":""党委"",""positionStart"":16,""positionEnd"":18},{""keyword"":""党委"",""positionStart"":64,""positionEnd"":66},{""keyword"":""党委"",""positionStart"":88,""positionEnd"":90}]","曾任甘肃省粮油储运总公司总经理、党委书记,甘肃省粮食局仓储调运处处长,甘肃省粮油质量监督检验所所长、甘肃省粮油储运总公司总经理、党委书记,甘肃省粮油储运有限公司董事长、总经理、党委书记"
"[{""keyword"":""中共"",""positionStart"":32,""positionEnd"":34},{""keyword"":""团委"",""positionStart"":49,""positionEnd"":51}]","谭志文:男,汉族,1976年8月出生,本科学历,高级政工师职称,中共党员,曾任新疆兵团农五师89团团委副书记"
"[{""keyword"":""党委"",""positionStart"":6,""positionEnd"":8},{""keyword"":""纪委"",""positionStart"":11,""positionEnd"":13}]",现任新赛股份党委委员、纪委书记
"[{""keyword"":""中共"",""positionStart"":32,""positionEnd"":34},{""keyword"":""纪委"",""positionStart"":149,""positionEnd"":151}]","陆建生:男,汉族,1962年9月出生,专科学历,助理会计师职称,中共党员,1979年9月参加工作,曾任新疆农五师84团审计科科员、审计科长,新疆农五师商业处副科长,新疆农五师商业处科长,新疆农五师审计局副主任科员,新疆农五师审计局主任科员,新疆农五师第二审计中心主任,新疆赛里木现代农业股份有限公司纪委书记、监事会主席,现任新赛股份副总经理"
"[{""keyword"":""党委"",""positionStart"":8,""positionEnd"":10},{""keyword"":""党委"",""positionStart"":50,""positionEnd"":52},{""keyword"":""党委"",""positionStart"":74,""positionEnd"":76}]","曾任山西四建集团党委书记、副董事长,山西建投集团副总会计师、投资管理部部长,山煤集团煤业管理有限公司党委委员、总会计师,山西霍尔辛赫煤业有限责任公司党委书记、董事"
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党委"",""positionStart"":45,""positionEnd"":47}]","现任山煤国际能源集团股份有限公司煤业分公司党委委员、财务总监,山煤国际能源集团股份有限公司党委委员、副总经理、企业精益化管理办公室主任"
"[{""keyword"":""党委"",""positionStart"":32,""positionEnd"":34},{""keyword"":""党委"",""positionStart"":56,""positionEnd"":58}]","现任山西焦煤集团有限责任公司副总经理,山西煤炭进出口集团有限公司党委委员、副总经理,山煤国际能源集团股份有限公司党委委员、董事"
"[{""keyword"":""共产党"",""positionStart"":39,""positionEnd"":42},{""keyword"":""党校"",""positionStart"":45,""positionEnd"":47}]","李明权:男,汉族,1971年6月出生,本科学历,1992年10月参加工作,中国共产党,兵团党校经济管理专业、北京电子科技学院计算机与科学技术专业,工程师职称"
"[{""keyword"":""党委"",""positionStart"":49,""positionEnd"":51},{""keyword"":""纪委"",""positionStart"":55,""positionEnd"":57}]","曾任中国电子人力资源部综合处(干部监督处)处长,2018年4月起至今任中电长城网际系统应用有限公司党委副书记、纪委书记"
"[{""keyword"":""中共"",""positionStart"":16,""positionEnd"":18},{""keyword"":""中央党校"",""positionStart"":21,""positionEnd"":25}]","白景波先生,1974年3月出生,中共党员,中央党校研究生"
"[{""keyword"":""党委"",""positionStart"":70,""positionEnd"":72},{""keyword"":""党委"",""positionStart"":125,""positionEnd"":127}]","曾任甘肃省国营八一农场小井子分场场长,甘肃省国营八一农场场长助理、副场长,甘肃省国营黄花农场场长、甘肃亚盛实业(集团)股份有限公司黄花分公司党委书记、甘肃亚盛实业(集团)股份有限公司条山分公司经理,甘肃黄羊河农工商(集团)有限责任公司董事长、总经理、党委委员"
"[{""keyword"":""党委"",""positionStart"":16,""positionEnd"":18},{""keyword"":""纪委"",""positionStart"":21,""positionEnd"":23}]",现任甘肃莫高实业发展股份有限公司党委委员、纪委书记、工会主席
"[{""keyword"":""党委"",""positionStart"":54,""positionEnd"":56},{""keyword"":""党委"",""positionStart"":81,""positionEnd"":83}]","曾任山西焦煤安全监管局副局长兼事故处应急处处长,山西焦煤霍州煤电团柏矿矿长,山西焦煤集团国际发展股份有限公司党委副书记、副董事长、总经理,山煤集团煤业管理有限公司党委书记、董事长、总经理"
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党委"",""positionStart"":26,""positionEnd"":28},{""keyword"":""党委"",""positionStart"":49,""positionEnd"":51}]","现任山煤国际能源集团股份有限公司煤业分公司党委委员、党委书记、总经理,山煤国际能源集团股份有限公司党委副书记、总经理"
"[{""keyword"":""党委"",""positionStart"":27,""positionEnd"":29},{""keyword"":""党委"",""positionStart"":32,""positionEnd"":34}]","2000年2月至今,历任天士力控股集团有限公司及其前身党委常委、党委副书记、副总裁、总裁等,天士力医药集团股份有限公司董事"
"[{""keyword"":""党委"",""positionStart"":50,""positionEnd"":52},{""keyword"":""党支部"",""positionStart"":22,""positionEnd"":25}]","现任山西煤炭进出口集团左云长春兴煤业有限公司党支部书记、董事,山煤国际能源集团股份有限公司煤业分公司党委委员、副总经理,山煤国际能源集团股份有限公司副总经理"
"[{""keyword"":""党群工作部"",""positionStart"":26,""positionEnd"":31},{""keyword"":""党群工作部"",""positionStart"":74,""positionEnd"":79}]","2011年7月进入中国软件与技术服务股份有限公司,在党群工作部(纪检监察部)工作,2014年2月担任该部门副主任,2017年7月至2019年6月担任党群工作部副主任(主持工作)"
"[{""keyword"":""中共"",""positionStart"":26,""positionEnd"":28},{""keyword"":""市委"",""positionStart"":30,""positionEnd"":32}]",曾就职于重庆交电公司、中国重庆国际经济技术合作公司、中共重庆市委企业工作委员会、重庆市国资委统计评价处处长、重庆市地产集团财务总监、中新大东方人寿保险有限公司董事长、先后任恒大人寿保险有限公司、恒大金融控股集团董事长、副总裁
"[{""keyword"":""党委"",""positionStart"":73,""positionEnd"":75},{""keyword"":""党委"",""positionStart"":86,""positionEnd"":88}]","山东黄金金创集团有限公司董事长,山东黄金归来庄矿业有限公司董事长,山东黄金矿业(莱州)有限公司董事,山东黄金矿业股份有限公司总经理助理、副总经理、党委委员、齐鲁事业部总裁、党委书记"
"[{""keyword"":""中共"",""positionStart"":53,""positionEnd"":55},{""keyword"":""党委"",""positionStart"":47,""positionEnd"":49},{""keyword"":""党委"",""positionStart"":101,""positionEnd"":103},{""keyword"":""党委"",""positionStart"":148,""positionEnd"":150},{""keyword"":""团委"",""positionStart"":24,""positionEnd"":26},{""keyword"":""市委"",""positionStart"":57,""positionEnd"":59},{""keyword"":""纪委"",""positionStart"":32,""positionEnd"":34},{""keyword"":""党政办"",""positionStart"":14,""positionEnd"":17}]","曾任山东省泰安市宁阳县泗店镇党政办公室副主任、镇团委书记,宁阳县纪委信访室副主任,宁阳县宁阳镇党委副书记,中共泰安市委组织部副主任科员、研究室副主任、主任科员(主持工作),山东省国资委企业领导人管理处(党委组织部)主任科员、副处长(副部长),山东省黄金集团有限公司办公室主任,山东黄金集团有限公司党委组织部部长、人力资源部经理"
"[{""keyword"":""党委"",""positionStart"":35,""positionEnd"":37},{""keyword"":""党委"",""positionStart"":113,""positionEnd"":115},{""keyword"":""党委"",""positionStart"":160,""positionEnd"":162},{""keyword"":""党委"",""positionStart"":232,""positionEnd"":234}]","曾任山东黄金集团有限公司生产部部长,山东黄金矿业(玲珑)有限公司矿长、党委副书记,山东黄金集团有限公司副总工程师、产业信息开发中心主任,山东黄金矿业公司科技信息部经理,山东黄金置业有限公司常务副总经理,山东黄金地产旅游有限公司党委书记、董事长,山东黄金集团有限公司副总工程师、总规划师,山东黄金矿业股份有限公司副总经理、党委委员、山东黄金集团有限公司总经理助理兼战略规划部经理,山东黄金矿业股份有限公司监事、监事会主席、总规划师,现任山东黄金矿业股份有限公司董事、党委委员、总经理兼财务负责人"
"[{""keyword"":""党委"",""positionStart"":53,""positionEnd"":55},{""keyword"":""党委"",""positionStart"":76,""positionEnd"":78},{""keyword"":""党委"",""positionStart"":86,""positionEnd"":88},{""keyword"":""党委"",""positionStart"":116,""positionEnd"":118}]","曾任山东黄金矿业股份有限公司新城金矿采矿车间采矿助理工程师、采矿车间副主任、主任、矿长助理、副矿长、矿长兼党委书记,山东黄金有色矿业集团有限公司总经理、党委副书记、董事长兼党委书记,山东黄金矿业股份有限公司副董事长、总经理、董事长兼党委书记"
"[{""keyword"":""中共"",""positionStart"":144,""positionEnd"":146},{""keyword"":""中共"",""positionStart"":165,""positionEnd"":167},{""keyword"":""中共"",""positionStart"":208,""positionEnd"":210},{""keyword"":""中共"",""positionStart"":229,""positionEnd"":231},{""keyword"":""党组"",""positionStart"":304,""positionEnd"":306}]","历任福建省机械厅计划处干部、福建省拖拉机厂生产科干部、福建省机械厅计划处科员、福建省机械厅计划处副主任科员、福建省机械厅办公室主任助理、主任科员、福建省经贸委运行处主任科员、福建省经贸委培训与职称处副处长、福建省政府国资委规划发展处副处长、福建省政府国资委改革与分配处副处长(主持工作)、中共福建省政府国资委机关委员会专职副书记、中共福建省政府国资委机关纪律检查委员会书记、福建省国资委改革分配处副处长(主持工作)、中共福建省政府国资委机关委员会专职副书记、中共福建省政府国资委机关纪律检查委员会书记、福建省政府国资委改革与分配处处长、福建省国资委改革发展处处长,现任福建省冶金(控股)有限责任公司副总经理、党组成员,2016年9月至今,任厦门钨业股份有限公司第七届董事会董事"
"[{""keyword"":""党委"",""positionStart"":88,""positionEnd"":90},{""keyword"":""党委"",""positionStart"":120,""positionEnd"":122},{""keyword"":""党委"",""positionStart"":135,""positionEnd"":137},{""keyword"":""党委"",""positionStart"":149,""positionEnd"":151}]","曾任山东黄金集团有限公司办公室政工师、综合管理办公室副主任,山东黄金资源开发有限公司副总经理,山东黄金资源集团有限公司副总经理,山东黄金集团有限公司企业文化部(维护稳定办公室、党委宣传部)第一副经理(正职待遇)、企业文化部(维护稳定办公室、党委宣传部)经理、企业文化部(党委宣传部、信访办)总经理、党委宣传部部长"
"[{""keyword"":""党委"",""positionStart"":106,""positionEnd"":108},{""keyword"":""党委"",""positionStart"":119,""positionEnd"":121},{""keyword"":""团委"",""positionStart"":25,""positionEnd"":27}]","曾任山东黄金矿业股份有限公司新城金矿宣传部副部长、团委书记、部长,山东黄金集团有限公司综合管理办公室副主任,山东黄金矿业开发有限公司(山金矿业有限公司)综合部经理,山东黄金集团有限公司企业文化部(维护稳定办公室、党委宣传部)经理、办公室(党委办公室)主任、经济发展研究室主任、保卫部总经理"
"[{""keyword"":""中共"",""positionStart"":18,""positionEnd"":20},{""keyword"":""中共"",""positionStart"":31,""positionEnd"":33},{""keyword"":""党校"",""positionStart"":64,""positionEnd"":66},{""keyword"":""区委"",""positionStart"":25,""positionEnd"":27},{""keyword"":""区委"",""positionStart"":39,""positionEnd"":41},{""keyword"":""区委"",""positionStart"":48,""positionEnd"":50},{""keyword"":""区委"",""positionStart"":62,""positionEnd"":64}]","曾任山东省计委经贸处副处长、调研员,中共淄博市临淄区委副书记,中共聊城市东昌府区委副书记、区长,区委书记、区人大常委会主任、区委党校校长"
"[{""keyword"":""党委"",""positionStart"":38,""positionEnd"":40},{""keyword"":""纪委"",""positionStart"":17,""positionEnd"":19}]","王先生曾任深圳高速公路股份有限公司纪委书记,现亦担任深圳高速公路股份有限公司党委副书记以及部分子公司之董事职务"
"[{""keyword"":""党委"",""positionStart"":106,""positionEnd"":108},{""keyword"":""团委"",""positionStart"":28,""positionEnd"":30},{""keyword"":""纪委"",""positionStart"":112,""positionEnd"":114}]","1995年7月至2003年11月,历任厦门钨品厂值班长、团委书记、厦门钨业钨车间副主任、钨车间主任,2003年12月至2006年2月,任厦门嘉鹭金属工业有限公司总经理,2006年3月至2009年3月,历任厦门钨业党委副书记、纪委书记、工会主席、海沧分公司副总经理,2009年4月至2015年4月,任长汀金龙稀土有限公司总经理"
"[{""keyword"":""党委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""纪委"",""positionStart"":35,""positionEnd"":37}]",2012年7月至2015年5月任重庆建设摩托车股份有限公司党委副书记、纪委书记、副总经理
