tinySentence,matches
持续改进部部长兼党支部副书记等职务,"[""部长"",""书记""]"
合肥市团市委《合肥青年》编辑部编辑,"[""编辑"",""编辑""]"
历任长沙东塘百货大楼总经理兼党委书记,"[""书记"",""经理""]"
2018年4月任唐山冀东水泥股份有限公司党委行政办公室副主任(主持工作),"[""主任"",""工作""]"
1976年出生中共党员高级经济师,"[""党员"",""经济师""]"
自2019年4月起任湖北宜化集团有限责任公司纪委副书记兼审计监察部部长至今,"[""部长"",""书记""]"
政治面貌:中共党员学历:硕士,"[""党员"",""学历""]"
其中1985年9月-1987年7月在湘西州委党校党政干部大专班经济管理专业学习,"[""专业"",""学习"",""干部""]"
2010年8月-2012年10月任张家界市国有资产监督管理委员会党委委员,"[""委员"",""委员""]"
2012年10月-2015年5月任张家界市国有资产监督管理委员会党委书记,"[""书记"",""委员""]"
中央党校研究生学历,"[""学历"",""研究生""]"
许继电气柔性输电系统分公司党委副书记(主持工作),"[""书记"",""工作""]"
吉林市委组织部经济干部处副科级巡视员,"[""员"",""干部""]"
吉林市委公交工委干部处副处长,"[""处长"",""干部""]"
物流公司总经理兼党总支书记,"[""书记"",""经理""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
曾任沈阳机床(集团)有限责任公司党委工作部综合室主任,"[""主任"",""工作""]"
现任沈阳机床股份有限公司党群工作部负责人,"[""负责人"",""工作""]"
2001年任吉林市委企业工委干部处副处长,"[""处长"",""干部""]"
曾任吉林化纤集团有限责任公司团委副书记(主持工作),"[""书记"",""工作""]"
党委工作部部长,"[""部长"",""工作""]"
人事保卫部部长兼党支部书记,"[""部长"",""书记""]"
党委书记2017.08-2018.05徐州工程机械集团有限公司副总经理,"[""书记"",""经理""]"
许继电气智能供用电系统分公司党委副书记(主持工作),"[""书记"",""工作""]"
1985.06-1992.08任徐州重型机械厂党委副书记兼纪委书记,"[""书记"",""书记""]"
1985.06-1992.08任徐州重型机械厂党委副书记兼纪委书记,"[""书记"",""书记""]"
中央党校经济学专业在职研究生学历,"[""学历"",""专业"",""研究生""]"
总经理(其中2016年8月至2018年6月任张家界旅游集团股份有限公司党委副书记,"[""书记"",""经理""]"
于2002年当选中国共产党十六大代表,"[""代表"",""当选""]"
2007年当选中国共产党十七大代表,"[""代表"",""当选""]"
2011年当选湖南省第十次党代会代表,"[""代表"",""当选""]"
2017年当选中国共产党十九大代表,"[""代表"",""当选""]"
焦作供电公司总经理兼党委副书记,"[""书记"",""经理""]"
国家电网焦作供电公司总经理兼党委副书记,"[""书记"",""经理""]"
曾任中共上海市委研究室综合处主任科员,"[""员"",""主任""]"
曾任中共上海市委研究室综合处主任科员,"[""员"",""主任""]"
政治面貌:中共党员学历:硕士,"[""党员"",""学历""]"
现在吉林化纤股份有限公司党委办公室主任兼综合管理处副处长,"[""主任"",""处长""]"
曾任南京公用发展股份有限公司党群工作部副部长,"[""部长"",""工作""]"
党群工作部副部长,"[""部长"",""工作""]"
现任南京公用发展股份有限公司党群工作部部长,"[""部长"",""工作""]"
担任湖南省国资委机关党委第一届委员会委员,"[""委员"",""委员""]"
工艺技术中心党支部书记兼副主任,"[""主任"",""书记""]"
计量中心主任兼党支部书记,"[""主任"",""书记""]"
北京北方车辆集团有限公司后勤装备公司总经理兼党支部书记等,"[""书记"",""经理""]"
海南省开发建设总公司总经理兼党委书记,"[""书记"",""经理""]"
担任九三学社珠海市委员会副主委,"[""委员"",""主委""]"
团委副书记(主持工作),"[""书记"",""工作""]"
2006年7月历任长航凤凰股份有限公司机关党委书记兼党委工作部副部长,"[""部长"",""书记"",""工作""]"
2006年7月历任长航凤凰股份有限公司机关党委书记兼党委工作部副部长,"[""部长"",""书记"",""工作""]"
党群工作部部长兼公司纪委副书记,"[""部长"",""书记"",""工作""]"
党群工作部部长兼公司纪委副书记,"[""部长"",""书记"",""工作""]"
2012年4月至今兼任武汉长航船员有限公司党委委员,"[""员"",""委员""]"
纪委副书记(主持工作),"[""书记"",""工作""]"
办公室主任兼支部书记,"[""主任"",""书记""]"
党委书记兼总经理,"[""书记"",""经理""]"
王震先生曾任河北经贸管理干部学院团委副书记,"[""书记"",""干部""]"
同年获选中共广西区委员会人才工作领导小组广西特聘专家,"[""委员"",""领导"",""工作"",""专家""]"
同年获选中共广西区委员会人才工作领导小组广西特聘专家,"[""委员"",""领导"",""工作"",""专家""]"
运输部部长(货运公司总经理兼党委书记),"[""部长"",""书记"",""经理""]"
2010年6月当选为中国外运长航集团党委委员,"[""委员"",""当选""]"
2011年12月中国长江航运(集团)总公司党委副书记(主持工作),"[""书记"",""工作""]"
县发展和改革委员会党组书记,"[""书记"",""委员""]"
历任武汉国有资产经营有限公司党群工作部副部长,"[""部长"",""工作""]"
现任武汉国有资产经营有限公司党委工作部部长,"[""部长"",""工作""]"
2002年1月任芜湖长江轮船公司党委书记兼总经理,"[""书记"",""经理""]"
中共海珠区委决策咨询专家委员会委员,"[""委员"",""委员"",""专家""]"
中共海珠区委决策咨询专家委员会委员,"[""委员"",""委员"",""专家""]"
市委政法委员会公务员,"[""员"",""委员""]"
2015年12月至今任广东教育书店有限公司党总支副书记兼第二党支部书记,"[""书记"",""书记""]"
2015年12月至今任广东教育书店有限公司党总支副书记兼第二党支部书记,"[""书记"",""书记""]"
近五年来历任广州市黄埔区委统战部正科级干部(期间于2012年9月-2013年1月挂职任文冲街道办主任助理),"[""主任"",""干部""]"
党群工作部部长,"[""部长"",""工作""]"
2015年7月当选为公司党委纪委委员,"[""委员"",""当选""]"
2015年7月当选为公司党委纪委委员,"[""委员"",""当选""]"
2018年12月当选佛山电器照明股份有限公司党委委员,"[""委员"",""当选""]"
党支部书记兼广东粤电环保工程管理分公司总经理,"[""书记"",""经理""]"
2015年7月当选为公司党委副书记,"[""书记"",""当选""]"
云南白药控股有限公司党委副书记兼副总经理,"[""书记"",""经理""]"
党群工作部部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
路运锋先生:西安交通大学金融学博士.曾任中共河南省委讲师团讲师,"[""讲师"",""讲师""]"
路运锋先生:西安交通大学金融学博士.曾任中共河南省委讲师团讲师,"[""讲师"",""讲师""]"
苏州市纪委第一纪检监察室副主任科员,"[""员"",""主任""]"
历任省委组织部干部监督处副处长,"[""处长"",""干部""]"
2004年7月获得甘肃省委党校区域经济开发与研究专业研究生学历,"[""学历"",""专业"",""研究生""]"
2004年7月获得甘肃省委党校区域经济开发与研究专业研究生学历,"[""学历"",""专业"",""研究生""]"
中共长沙市委办公厅秘书一处副处长,"[""处长"",""秘书""]"
中共长沙市委办公厅秘书一处副处长,"[""处长"",""秘书""]"
中共长沙市委组织部干部一处处长,"[""处长"",""干部""]"
中共长沙市委组织部干部一处处长,"[""处长"",""干部""]"
经理兼党委书记,"[""书记"",""经理""]"
甘肃华能工程建设有限公司经理兼党委书记,"[""书记"",""经理""]"
泰山石油党群工作部主任,"[""主任"",""工作""]"
东方邦信融通控股股份有限公司党委委员副总经理,"[""委员"",""经理""]"
东方金诚国际信用评估有限公司党委委员副总经理,"[""委员"",""经理""]"
纪委监察室副书记(主任),"[""主任"",""书记""]"
党群工作部总经理,"[""经理"",""工作""]"
陕国投党委工作部部长,"[""部长"",""工作""]"
行政副总监兼党委工作部部长,"[""部长"",""工作""]"
