_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,amountMention,natureOfCompanyInvolvement,otherComments,section,location,mentionPrevious,mention,mentionNext
"""5fab67750091c9411f2bc1a9""",国家自然科学基金,年度报告,2019,新莱应材：2019年年度报告（更新后）,300260.SZ,新莱应材,制造业,通用设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300260/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,641,,中青年学术带头人，国家自然科学基金通讯评审专家，教育部人文社会科学学位论文评审专家、江苏省台办特约研究员，江苏省军民融合发展专家咨询委员会专家，苏州市委政策研究室特约研究员、苏州市政府政策研究室特约研究员、苏州市军民融,
"""5fab67750091c9411f2bc1aa""",国家自然科学基金,年度报告,2019,中威电子：2019年年度报告（更新后）,300270.SZ,中威电子,制造业,计算机、通信和其他电子设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300270/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,615,朱伟平先生：1967年7月出生，中国国籍，拥有加拿大永久居留权，浙江大学EMBA。先后就职于戴尔中国公司、思科中国公司和浙江大华技术股份有限公司。2018年1月加入中威电子股份有限公司。现任杭州中威电子股份有限公司常务副总裁、中国城市科学研究会数字城市专业委员会成员、联合国人居署城市可持续发展中方特别顾问、杭州大学生创业导师；2019年5月起任公司董事、副总经理。,沈俊杰先生：1985年9月出生，中国国籍，无境外居留权，博士研究生学历，高级工程师；曾任职于索尼中国有限公司，并先后参与创立数家新能源新材料相关行业企业，拥有丰富的工程技术经验，现任杭实股权投资基金管理（杭州）有限公司投资总监。曾主持/参与国家火炬计划项目、国家自然科学基金项目、市区级科技项目多项，并在国内外知名杂志上发表SCI论文20余篇，在新材料及其制备工艺技术、生产测试设备等方面获多项授权专利。沈俊杰先生目前兼任大连电瓷集团股份有限公司（002606）董事、杭州百子尖科技股份有限公司董事。2019年3月起任公司董事。,俞立先生：1961年6月出生，中国国籍，无境外居留权，博士研究生学历。获国务院政府特殊津贴、浙江省有突出贡献的中青年专家、浙江省教学名师、浙江省优秀留学回国人员、“新世纪百千万人才工程”国家级人选、国家杰出青年科学基金、
"""5fab67750091c9411f2bc1ab""",国家自然科学基金,年度报告,2019,欧比特：2019年年度报告（更新后）,300053.SZ,欧比特,制造业,计算机、通信和其他电子设备制造业,广东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300053/page_type/ndbg.phtml,,,,第二节公司简介和主要财务指标,651,,国人民大学，管理学博士，香港中文大学博士后。自2010年起执教于北京航空航天大学经济管理学院，现任经济管理学院会计系主任、副教授、硕士研究生导师。主要研究方向为公司财务与资本市场。目前已主持和完成2项国家自然科学基金项目。已在国内外核心期刊发表30余篇学术论文。2013年入选财政部全国会计领军（后备）人才。现任公司独立董事。,
"""5fab67750091c9411f2bc1ac""",国家自然科学基金,年度报告,2019,美联新材：2019年年度报告（更新后）,300586.SZ,美联新材,制造业,橡胶和塑料制品业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300586/page_type/ndbg.phtml,,,,,2227,,，审计师。2013年8月至2018年10月，任美联新材财务部经理；2018年11月至今，任美联新材董事、财务副总监。马北雁：男，中国国籍，无境外永久居住权，出生于1970年7月，中国科学院博士。曾主持国家自然科学基金青年项目，曾获“广东省科学院科技进步二等奖”、“广东科协献计献策奖”等。2000年7月至2005年8月，任平安证券有限责任公司综合研究所行业公司部副总经理；2005年9月至2008年4,
"""5fab67750091c9411f2bc1ad""",国家自然科学基金,年度报告,2019,*ST麦趣：2019年年度报告（更新后）,002719.SZ,*ST麦趣,制造业,食品制造业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002719/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,524,,”大会共同主席。黄卫宁先生一直致力于现代烘焙科学交叉生物发酵技术、功能食品配料和食品添加剂领域的高等教学、科学研究和产业化工程开发工作，是食品科学与工程国家级重点学科第一位“太湖学者”，先后承担和参与国家自然科学基金、“863”、“十一五”、“十二五”、国家农业科技成果转化资金等10多项国家与国际科研项目，同时获得发明专利授权30多项，建立多条特种烘焙食品现代化工程生产线；2018年荣获美国AAC,
"""5fab67750091c9411f2bc1ae""",国家自然科学基金,年度报告,2019,华达科技：2019年年度报告,603358.SH,华达科技,制造业,汽车制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603358/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,592,,有限公司车间主任、生产部部长、总经理助理等职。现任本公司副总经理。林建平现任同济大学教授、博士生导师、中国模具工业协会冷冲模委员会副主任、机械工业科学技术奖会评专家、上海市科技进步奖和发明奖评审专家、国家自然科学基金评审专家、美国汽车工程学会（SAE）会员、上海模具工业协会技术委员会 主任、汽车模具技术委员会委员、中国机械工程学会高级会员等。陈琴曾任柏木教委财务科长兼总帐会计，目前任职于靖江城中小,
"""5fab67750091c9411f2bc1af""",国家自然科学基金,年度报告,2019,厦门国贸：2019年年度报告,600755.SH,厦门国贸,电力、热力、燃气及水的生产和供应业,批发业,福建省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600755/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,670,,吴世农现任厦门国贸集团股份有限公司独立董事，厦门大学管理学院教授、博士生导师，曾任厦门大学管理学院院长、副校长，以及全国MBA教育指导委员会副主任委员、国务院学科评议组工商管理学科评议组成员兼召集人、国家自然科学基金委员会委员等。毛付根现任厦门国贸集团股份有限公司独立董事，厦门大学管理学院教授。郑甘澍现任厦门国贸集团股份有限公司独立董事，曾任厦门大学经济学院教授。王燕惠现任厦门国贸集团股份有限公司,
"""5fab67750091c9411f2bc1b0""",国家自然科学基金,年度报告,2019,东软集团：2019年年度报告,600718.SH,东软集团,信息传输、软件和信息技术服务业,软件和信息技术服务业,辽宁省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600718/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,816,,，第八、九、十届全国政协委员。刘积仁于1982年获得硕士学位，1986年至1987年在美国国家标准局计算机研究院做博士论文，1987年成为中国第一个计算机应用专业博士，1991年创立东软。刘积仁曾主持国家自然科学基金、国家“863”项目、火炬计划、国家经贸委、科技部、工信部、原冶金部等多项重大课题的研究工作，在计算机网络、多媒体技术、软件工程方面取得了多项科研成果，被国家授予“有突出贡献的中国博士,
"""5fab67750091c9411f2bc1b1""",国家自然科学基金,年度报告,2019,彩虹股份：2019年年度报告,600707.SH,彩虹股份,制造业,计算机、通信和其他电子设备制造业,陕西省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600707/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,606,,彭俊彪华南理工大学教授，广东省特聘教授。国家科技部“十五”“863”光电子主题专家，国家自然科学基金委信息学部专家。一直从事印刷型有机/高分子发光显示（OLED）新材料和新工艺研究，曾组建“广州新视界光电科技有限公司”，孵化AMOLED前沿产业技术，担任总经理；彭俊彪教授负责的课题组,
"""5fab67750091c9411f2bc1b2""",国家自然科学基金,年度报告,2019,北信源：2019年年度报告,300352.SZ,北信源,信息传输、软件和信息技术服务业,软件和信息技术服务业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300352/page_type/ndbg.phtml,,,,第二节 公司简介和主要财务指标,668,高曦，中国国籍，无境外永久居留权，1977年生，硕士。曾任唐山燕山电器有限公司软件开发员，北信源有限董事、副总经理；现任公司董事、副总经理、研发总监，北信源（马来西亚）董事，北京信源匡恩工控安全科技有限公司董事。,胡建斌，中国国籍，无境外永久居留权，1971年生，计算机软件与理论博士。先后主持国家自然科学基金、科技部国际合作重大专项、军口863、总装预研等20余项课题，获得国家科技进步二等奖1项、军队科技进步奖5项，发表SCI/EI检索学术论文60余篇，拥有发明专利2项。曾任北京大学网络和软件安全保障教育部重点实验室副主任。现任公司董事、首席战略官，北京辰信领创信息技术有限公司董事。,李涛，中国国籍，无境外永久居留权，1961年生，博士。华北电力大学经济管理学院会计学教授、河南平高电气股份有限公司独立董事，现任公司独立董事。
