保利地产,600048,收入构成,报告日期,2020-06-30,
中国包头,60536,-- ,60536,--,3.9%
中国上海,179767,-- ,179767,--,11.59%
中国重庆,206185,-- ,206185,--,13.29%
中国北京,88670,-- ,88670,--,5.72%
中国沈阳,158585,-- ,158585,--,10.22%
中国武汉,45920,-- ,45920,--,2.96%
中国长沙,24133,-- ,24133,--,1.56%
中国佛山,207540,-- ,207540,--,13.38%
中国广州,517950,-- ,517950,--,33.38%

保利地产,600048,收入构成,报告日期,2008-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国南昌,11949,-- ,11949,--,2.22%
中国包头,24599,-- ,24599,--,4.57%
中国上海,63200,-- ,63200,--,11.75%
中国重庆,61892,-- ,61892,--,11.5%
中国北京,19987,-- ,19987,--,3.71%
中国沈阳,36207,-- ,36207,--,6.73%
中国武汉,9367,-- ,9367,--,1.74%
中国长沙,12799,-- ,12799,--,2.38%
中国佛山,154482,-- ,154482,--,28.71%
中国广州,143555,-- ,143555,--,26.68%

保利地产,600048,收入构成,报告日期,2007-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国南昌,9177,-- ,9177,--,1.13%
中国包头,35101,-- ,35101,--,4.33%
中国上海,20185,-- ,20185,--,2.49%
中国重庆,93947,-- ,93947,--,11.58%
中国北京,208627,-- ,208627,--,25.71%
中国沈阳,89170,-- ,89170,--,10.99%
中国武汉,72474,-- ,72474,--,8.93%
中国长沙,20034,-- ,20034,--,2.47%
中国广州,262610,-- ,262610,--,32.37%

保利地产,600048,收入构成,报告日期,2007-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国上海,543,482,61,11.3%,0.07%
中国重庆,26185,15252,10932,41.75%,13.13%
中国北京,22448,12099,10349,46.1%,12.43%
中国沈阳,17015,14055,2960,17.39%,3.55%
中国武汉,426,183,244,57.15%,0.29%
中国长沙,1372,978,394,28.69%,0.47%
中国广州,141647,83296,58351,41.19%,70.06%

保利地产,600048,收入构成,报告日期,2006-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内部抵销,-102775,-99618,-3156,3.07%,-2.19%
中国上海,26547,18655,7892,29.73%,5.48%
中国重庆,64726,44073,20652,31.91%,14.34%
中国沈阳,57377,36835,20542,35.8%,14.26%
中国北京,26829,22316,4513,16.82%,3.13%
中国武汉,49286,33308,15978,32.42%,11.09%
中国长沙,7844,5430,2414,30.77%,1.68%
中国广州,272888,197657,75231,27.57%,52.22%

保利地产,600048,收入构成,报告日期,2006-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国重庆,15993,11117,4876,30.49%,8.95%
中国北京,16946,11717,5228,30.85%,9.59%
中国沈阳,28,34,-6,-21.93%,-0.01%
中国武汉,37384,26158,11226,30.03%,20.6%
中国长沙,3920,2801,1119,28.54%,2.05%
中国广州,68293,36241,32052,46.93%,58.82%

保利地产,600048,收入构成,报告日期,2005-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国北京,20298,15186,5112,25.18%,5.1%
中国沈阳,8818,6113,2705,30.67%,2.7%
中国武汉,23057,15149,7908,34.3%,7.89%
中国长沙,2848,1987,861,30.23%,0.86%
中国广州,180620,96919,83701,46.34%,83.46%

保利地产,600048,收入构成,报告日期,2004-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中国北京,14319,11220,3099,21.64%,6.08%
中国沈阳,15555,11752,3804,24.45%,7.47%
中国武汉,16632,12083,4549,27.35%,8.93%
中国长沙,4714,3626,1088,23.09%,2.14%
中国广州,104686,66292,38394,36.68%,75.38%

保利地产,600048,收入构成,报告日期,2003-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
长沙,2193,-- ,2193,--,3.53%
广州,59939,-- ,59939,--,96.47%

