中信证券,600030,收入构成,报告日期,2020-06-30,
天津,7705,5298,2407,31.25%,0.17%
北京,75815,46672,29144,38.44%,2.05%

中信证券,600030,收入构成,报告日期,2016-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,203674,-- ,203674,--,6.01%
境内,1612259,-- ,1612259,--,47.57%
其中：公司,1345527,-- ,1345527,--,39.7%
其中：新疆维吾尔自治区,30,-- ,30,--,0%
其中：贵州省,6,-- ,6,--,0%
其中：甘肃省,76,-- ,76,--,0%
其中：重庆市,171,-- ,171,--,0.01%
其中：内蒙古自治区,240,-- ,240,--,0.01%
其中：黑龙江省,201,-- ,201,--,0.01%
其中：宁夏回族自治区,87,-- ,87,--,0%
其中：陕西省,1817,-- ,1817,--,0.05%
其中：云南省,425,-- ,425,--,0.01%
其中：四川省,2168,-- ,2168,--,0.06%
其中：海南省,322,-- ,322,--,0.01%
其中：广西省,311,-- ,311,--,0.01%
其中：广东省,18147,-- ,18147,--,0.54%
其中：湖南省,1587,-- ,1587,--,0.05%
其中：湖北省,5800,-- ,5800,--,0.17%
其中：河南省,1442,-- ,1442,--,0.04%
其中：山东省,42712,-- ,42712,--,1.26%
其中：江西省,2459,-- ,2459,--,0.07%
其中：福建省,1728,-- ,1728,--,0.05%
其中：安徽省,1281,-- ,1281,--,0.04%
其中：浙江省,89604,-- ,89604,--,2.64%
其中：江苏省,14129,-- ,14129,--,0.42%
其中：上海市,32503,-- ,32503,--,0.96%
其中：吉林省,153,-- ,153,--,0%
其中：辽宁省,3420,-- ,3420,--,0.1%
其中：山西省,1161,-- ,1161,--,0.03%
其中：河北省,1820,-- ,1820,--,0.05%
其中：天津市,4203,-- ,4203,--,0.12%

中信证券,600030,收入构成,报告日期,2015-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,615493,-- ,615493,--,10.99%
公司本部,3764010,-- ,3764010,--,67.2%
新疆维吾尔自治区,275,-- ,275,--,0%
贵州省,16,-- ,16,--,0%
甘肃省,77,-- ,77,--,0%
重庆市,575,-- ,575,--,0.01%
内蒙古自治区,848,-- ,848,--,0.02%
黑龙江省,302,-- ,302,--,0.01%
宁夏回族自治区,192,-- ,192,--,0%
陕西省,9203,-- ,9203,--,0.16%
云南省,1219,-- ,1219,--,0.02%
四川省,8648,-- ,8648,--,0.15%
海南省,1551,-- ,1551,--,0.03%
广西壮族自治区,1030,-- ,1030,--,0.02%
广东省,67496,-- ,67496,--,1.21%
湖南省,6849,-- ,6849,--,0.12%
湖北省,26568,-- ,26568,--,0.47%
河南省,4310,-- ,4310,--,0.08%
山东省,208452,-- ,208452,--,3.72%
江西省,7372,-- ,7372,--,0.13%
福建省,5753,-- ,5753,--,0.1%
安徽省,5822,-- ,5822,--,0.1%
浙江省,403122,-- ,403122,--,7.2%
江苏省,59605,-- ,59605,--,1.06%
上海市,155938,-- ,155938,--,2.78%
吉林省,538,-- ,538,--,0.01%
辽宁省,13027,-- ,13027,--,0.23%
山西省,4586,-- ,4586,--,0.08%
河北省,6409,-- ,6409,--,0.11%
天津市,20834,-- ,20834,--,0.37%
北京市,201225,-- ,201225,--,3.59%

中信证券,600030,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
浙江省,226111,-- ,226111,--,7.27%
吉林省,238,-- ,238,--,0.01%
河北省,3269,-- ,3269,--,0.11%
公司本部,2015903,-- ,2015903,--,64.8%
重庆市,219,-- ,219,--,0.01%
黑龙江省,51,-- ,51,--,0%
北京市,105697,-- ,105697,--,3.4%
云南省,491,-- ,491,--,0.02%
广西省,534,-- ,534,--,0.02%
湖北省,15796,-- ,15796,--,0.51%
江西省,3645,-- ,3645,--,0.12%
新疆维吾尔自治区,234,-- ,234,--,0.01%
甘肃,36,-- ,36,--,0%
宁夏回族自治区,93,-- ,93,--,0%
四川省,4670,-- ,4670,--,0.15%
内蒙古自治区,442,-- ,442,--,0.01%
境外,387919,-- ,387919,--,12.47%
贵州,11,-- ,11,--,0%
辽宁省,9518,-- ,9518,--,0.31%
