北京地区,60153,58342,1811,3.01%,2.9%

中储股份,600787,收入构成,报告日期,2015-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
河南,30029,-- ,30029,--,3.56%
北京,36663,-- ,36663,--,4.34%
上海,19520,-- ,19520,--,2.31%
减：公司各地区内部抵销,-2043,-- ,-2043,--,-0.24%
四川,4608,-- ,4608,--,0.55%
广东,39756,-- ,39756,--,4.71%
湖南,1363,-- ,1363,--,0.16%
陕西,141948,-- ,141948,--,16.82%
其他(补充),94,-- ,94,--,0.01%
山东,43248,-- ,43248,--,5.13%
天津,211330,-- ,211330,--,25.04%
河北,13194,-- ,13194,--,1.56%
湖北,10969,-- ,10969,--,1.3%
辽宁,16213,-- ,16213,--,1.92%
江苏,276939,-- ,276939,--,32.82%

中储股份,600787,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广东地区,76708,-- ,76708,--,3.58%
陕西地区,212840,-- ,212840,--,9.92%
辽宁地区,19567,-- ,19567,--,0.91%
减：内部抵销数,-327,-- ,-327,--,-0.02%
四川地区,13418,-- ,13418,--,0.63%
湖北地区,41539,-- ,41539,--,1.94%
山东地区,95859,-- ,95859,--,4.47%
湖南地区,32647,-- ,32647,--,1.52%
江苏地区,641546,-- ,641546,--,29.9%
河北地区,29105,-- ,29105,--,1.36%
河南地区,81449,-- ,81449,--,3.8%
天津地区,783738,-- ,783738,--,36.53%
上海地区,42339,-- ,42339,--,1.97%
北京地区,74613,-- ,74613,--,3.48%
其他(补充),440,-- ,440,--,0.02%

中储股份,600787,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
河北,12499,11138,1361,10.89%,3.22%
四川,6507,5490,1017,15.62%,2.41%
河南,39072,33955,5117,13.1%,12.12%
减:公司各地区内部抵销,-1562,-327,-1235,79.06%,-2.93%
陕西,114590,111089,3501,3.06%,8.29%
北京,36752,34383,2368,6.44%,5.61%
江苏,343195,333707,9489,2.76%,22.48%
天津,459074,451287,7787,1.7%,18.45%
上海,19449,13836,5613,28.86%,13.3%
其他(补充),217,-- ,217,--,0.51%
山东,58341,56650,1691,2.9%,4.01%
湖南,18234,17441,793,4.35%,1.88%
湖北,32443,30442,2000,6.17%,4.74%
广东,38296,37574,722,1.88%,1.71%
辽宁,9389,7625,1764,18.79%,4.18%

中储股份,600787,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),602,105,497,82.54%,0.56%
减:内部抵销数,-1951,-1951,0,0%,0%
广东地区,79302,77859,1444,1.82%,1.62%
山东地区,105671,102321,3350,3.17%,3.77%
四川地区,23868,20056,3812,15.97%,4.28%
陕西地区,143233,137304,5929,4.14%,6.66%
湖南地区,25421,23987,1434,5.64%,1.61%
湖北地区,75167,70806,4361,5.8%,4.9%
辽宁地区,24384,21871,2513,10.31%,2.82%
江苏地区,720866,702745,18121,2.51%,20.37%
河南地区,132495,124056,8439,6.37%,9.49%
上海地区,36081,26090,9991,27.69%,11.23%
河北地区,25793,23398,2395,9.29%,2.69%
天津地区,1315929,1292595,23334,1.77%,26.23%
北京地区,77045,73691,3354,4.35%,3.77%

中储股份,600787,收入构成,报告日期,2013-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),182,-- ,182,--,0.37%
减:公司各地区内部抵销,-18096,-18096,0,0%,0%
广东,24797,24239,558,2.25%,1.14%
河北,11749,10526,1223,10.41%,2.5%
四川,11385,9374,2011,17.66%,4.12%
湖南,17638,17103,535,3.03%,1.09%
湖北,37291,35151,2139,5.74%,4.38%
河南,67026,61235,5791,8.64%,11.85%
陕西,63781,60753,3028,4.75%,6.2%
辽宁,13668,11592,2075,15.19%,4.25%
北京,35560,33659,1902,5.35%,3.89%
山东,49038,47281,1757,3.58%,3.6%
江苏,355068,346424,8644,2.43%,17.7%
上海,16369,11355,5014,30.63%,10.26%
天津,703085,689092,13992,1.99%,28.64%

中储股份,600787,收入构成,报告日期,2012-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),756,127,629,83.14%,0.58%
内部抵销数,-8235,-8231,-4,0.05%,-0%
广东地区,65522,64487,1035,1.58%,0.95%
山东地区,91326,87753,3573,3.91%,3.28%
四川地区,19693,16017,3676,18.67%,3.38%
陕西地区,79800,73345,6455,8.09%,5.93%
湖南地区,51334,48610,2724,5.31%,2.5%
湖北地区,71428,66791,4638,6.49%,4.26%
辽宁地区,39498,34729,4769,12.07%,4.38%
江苏地区,721785,705823,15962,2.21%,14.67%
河南地区,165876,153053,12823,7.73%,11.78%
上海地区,32371,22379,9992,30.87%,9.18%
河北地区,28639,25722,2916,10.18%,2.68%
天津地区,1191481,1158284,33197,2.79%,30.51%
北京地区,126823,120385,6439,5.08%,5.92%

中储股份,600787,收入构成,报告日期,2012-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
四川,8553,6761,1792,20.95%,2.96%
陕西,41314,38140,3174,7.68%,5.25%
湖南,31181,29786,1395,4.47%,2.31%
北京,65169,61299,3869,5.94%,6.4%
其他(补充),119,-- ,119,--,0.2%
江苏,332834,324814,8021,2.41%,13.26%
辽宁,21765,18506,3260,14.98%,5.39%
减:公司各地区内部抵销,-45748,-45748,0,0%,0%
天津,595919,574943,20975,3.52%,34.68%
河南,83398,77195,6203,7.44%,10.26%
山东,49123,47195,1928,3.92%,3.19%
湖北,38040,35587,2453,6.45%,4.06%
河北,14372,12748,1624,11.3%,2.69%
上海,15420,10286,5134,33.3%,8.49%
广东,38234,37705,530,1.38%,0.88%

中储股份,600787,收入构成,报告日期,2011-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),505,141,364,72%,0.32%
内部抵销数,-107812,-107812,0,0%,0%
广东地区,54174,53091,1084,2%,0.95%
山东地区,72117,68295,3822,5.3%,3.35%
四川地区,25280,23073,2207,8.73%,1.93%
陕西地区,88157,82304,5853,6.64%,5.12%
湖南地区,80189,76911,3278,4.09%,2.87%
湖北地区,72813,66730,6083,8.35%,5.33%
辽宁地区,49682,44788,4894,9.85%,4.29%
江苏地区,725663,707104,18558,2.56%,16.25%
河南地区,214785,198228,16557,7.71%,14.5%
上海地区,35277,23449,11828,33.53%,10.36%
河北地区,32870,30380,2490,7.57%,2.18%
天津地区,930422,899344,31078,3.34%,27.21%
北京地区,67173,61054,6119,9.11%,5.36%

中储股份,600787,收入构成,报告日期,2011-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),224,-- ,224,--,0.38%
减:公司各地区内部抵销,-41276,-41276,0,0%,0%
广东,16350,15830,520,3.18%,0.88%
河北,14449,12997,1452,10.05%,2.45%
四川,13413,12430,983,7.33%,1.66%
湖南,34182,32808,1374,4.02%,2.32%
湖北,35697,32487,3210,8.99%,5.42%
河南,104575,96243,8331,7.97%,14.06%
陕西,39457,36561,2896,7.34%,4.89%
辽宁,21275,18818,2457,11.55%,4.15%
北京,26157,23182,2976,11.38%,5.02%
山东,40076,38277,1799,4.49%,3.04%
江苏,343740,333005,10735,3.12%,18.12%
上海,15927,10415,5512,34.61%,9.3%
天津,450752,433981,16771,3.72%,28.31%

中储股份,600787,收入构成,报告日期,2010-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
减:内部抵销数,-100044,-- ,-100044,--,-5.45%
山东地区,66905,-- ,66905,--,3.65%
四川地区,20367,-- ,20367,--,1.11%
陕西地区,108249,-- ,108249,--,5.9%
湖南地区,76419,-- ,76419,--,4.17%
湖北地区,61224,-- ,61224,--,3.34%
辽宁地区,62767,-- ,62767,--,3.42%
江苏地区,537409,-- ,537409,--,29.3%
河南地区,160969,-- ,160969,--,8.78%
上海地区,40658,-- ,40658,--,2.22%
河北地区,31693,-- ,31693,--,1.73%
天津地区,652896,-- ,652896,--,35.59%
北京地区,114799,-- ,114799,--,6.26%

中储股份,600787,收入构成,报告日期,2010-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
减:公司各地区内部抵销,-30430,-30430,0,0%,0%
河北,16489,15037,1452,8.81%,2.81%
四川,9880,9072,808,8.18%,1.56%
湖南,37009,35165,1843,4.98%,3.56%
湖北,31649,28760,2889,9.13%,5.58%
河南,76934,70031,6903,8.97%,13.34%
陕西,57284,54345,2939,5.13%,5.68%
辽宁,30750,28229,2521,8.2%,4.87%
北京,28158,26777,1380,4.9%,2.67%
山东,32916,31409,1507,4.58%,2.91%
