bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,-46295,149764,null,492234,652449,0.29,572947,14054,68324,59246,104845,936916,002701.SZ,1473305,875923,indicators,2019
null,-457,-1893,null,74216,40601,0.01,78847,637,684,108,884,138518,002702.SZ,119605,40758,indicators,2019
null,-318,3980,null,99106,62542,-0.22,130183,121,-17671,-19346,-20464,98237,002703.SZ,197520,68056,indicators,2019
null,-165,144426,null,516308,356875,0.86,429924,-2476,68734,68280,78436,912453,002705.SZ,815067,382282,indicators,2019
null,13292,33129,null,123796,51375,0.35,180657,720,27309,24048,28670,203851,002706.SZ,232965,52308,indicators,2019
null,4671,16816,null,315242,258526,0.08,240872,1186,6861,5904,11774,1262171,002707.SZ,570615,322425,indicators,2019
null,-3689,8136,null,109894,67545,0.02,142260,54,1153,107,1137,130949,002708.SZ,217004,74744,indicators,2019
null,728,-1841,null,226498,208503,0.03,278830,-736,1632,1166,1325,275459,002709.SZ,532964,235858,indicators,2019
null,-708,1608,null,25016,82301,0.05,-247239,4842,5607,-9017,3101,17590,002711.SZ,67051,307653,indicators,2019
null,18927,65051,null,263203,140497,0.08,310629,1589,4643,-10788,7590,299700,002712.SZ,456755,141244,indicators,2019
null,-13848,10453,null,154332,202728,-0.6,71934,1432,-24926,-32758,-17927,379897,002713.SZ,289433,204808,indicators,2019
null,755171,998890,null,1959235,1816913,2.82,2310774,4226,611436,593753,631483,2022133,002714.SZ,5288659,2117502,indicators,2019
null,1322,3728,null,37709,21442,0.04,49315,12,373,-197,550,33570,002715.SZ,71359,22044,indicators,2019
null,-18790,-12173,null,744797,897300,-4.53,-63751,105,-434891,-364429,-359637,619920,002716.SZ,1013335,1077086,indicators,2019
null,38483,126951,null,1275616,1289939,0.21,488097,103,32767,32449,43937,795664,002717.SZ,1954577,1434540,indicators,2019
null,6321,4938,null,76682,64345,0.73,125876,5235,9647,7620,9925,70705,002718.SZ,191017,64437,indicators,2019
null,6762,9651,null,64795,38334,-0.75,82091,673,-6946,-7227,-7255,67057,002719.SZ,122554,40365,indicators,2019
null,2199,-199113,null,1010187,693305,0.07,461264,-3325,6196,3184,11328,1068054,002721.SZ,1270504,804244,indicators,2019
null,-5340,5950,null,179076,97853,0.34,190158,-591,5892,5421,8381,241378,002722.SZ,306269,115410,indicators,2019
null,2210,1197,null,67589,62576,0.2,60518,677,3907,2527,3789,100082,002723.SZ,123571,63053,indicators,2019
null,15754,25439,null,192185,35247,0.36,208393,2273,25730,22180,29231,149458,002724.SZ,243756,35363,indicators,2019
null,-5469,7387,null,39463,16516,0.13,96328,257,3325,3053,3794,71491,002725.SZ,113649,17322,indicators,2019
null,-33645,-137133,null,479814,372158,0.24,232222,0,24087,23015,35024,1682236,002726.SZ,631814,375481,indicators,2019
null,2283,98292,null,560778,282647,1.06,459492,2331,60392,59066,73922,1047909,002727.SZ,796281,336664,indicators,2019
