bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,5206,29563,null,193997,60702,0.25,398885,4190,29283,25922,32659,278074,300194.SZ,473597,74659,indicators,2019
null,-32610,4607,null,211187,166629,-2.21,280128,6068,-70249,-75319,-68461,129221,300195.SZ,524885,234301,indicators,2019
null,8694,37912,null,155911,40704,0.71,267856,704,28945,27133,32981,220971,300196.SZ,318568,45385,indicators,2019
null,53954,109305,null,1573033,1672741,-0.39,631708,17253,-91212,-93578,-101757,506625,300197.SZ,2933547,2243434,indicators,2019
null,-8286,5431,null,99058,135836,0.23,140113,48491,23720,23494,33516,80828,300198.SZ,319335,176108,indicators,2019
null,-90670,10464,null,189278,113572,-0.96,222821,564,-88477,-92136,-90531,61419,300199.SZ,472475,249166,indicators,2019
null,-18481,30815,null,92199,23107,0.7,165497,1164,18591,17685,21505,96011,300200.SZ,189611,24114,indicators,2019
null,16897,16616,null,216898,170744,0.04,163175,-445,4535,4067,4406,177549,300201.SZ,351728,184986,indicators,2019
null,-19562,5162,null,157616,49135,0.07,162186,3150,3790,-4290,4455,66901,300202.SZ,217931,54547,indicators,2019
null,-3361,50470,null,481513,306424,0.09,332740,544,3981,-2126,19467,389552,300203.SZ,851769,458627,indicators,2019
null,-1259,4434,null,102118,17837,0.06,163523,2598,2730,1364,2034,66149,300204.SZ,186241,22718,indicators,2019
null,30906,28063,null,225871,124824,0.45,142943,12285,19240,561,20350,221211,300205.SZ,268120,125001,indicators,2019
null,3743,11529,null,84686,16310,0.23,129093,1243,13185,11453,13635,113624,300206.SZ,149702,19839,indicators,2019
null,-78820,74385,null,1483075,1601717,0.49,576956,14678,75097,52446,80924,2524066,300207.SZ,2358911,1759543,indicators,2019
null,26968,-84857,null,439161,345052,-0.35,186836,36,-25937,-25790,-36521,75704,300208.SZ,574681,386428,indicators,2019
null,-10141,13520,null,341518,118030,0.28,404951,-370,10973,10228,12902,421020,300209.SZ,557706,152148,indicators,2019
null,-2689,-4437,null,97290,87624,-0.66,87261,-726,-31996,-32005,-35173,25711,300210.SZ,182351,94099,indicators,2019
null,5580,7700,null,34950,3950,0.02,47886,132,634,393,714,9891,300211.SZ,52264,4378,indicators,2019
null,-55199,23084,null,908986,661681,0.72,330745,5845,38401,30511,52751,374390,300212.SZ,1290634,900687,indicators,2019
null,9864,18050,null,210491,99032,0.26,208976,69,15313,14416,16849,133949,300213.SZ,315814,106834,indicators,2019
null,-4576,13624,null,125893,31702,0.42,174267,19,17791,18121,24328,242012,300214.SZ,205976,31709,indicators,2019
null,-9116,49631,null,59468,63425,0.22,210936,null,16654,14691,18908,80634,300215.SZ,365187,152738,indicators,2019
null,-857,201,null,85160,440251,-2.2,-259095,-144,-79641,-70854,-68778,19757,300216.SZ,224898,481098,indicators,2019
null,-14225,6459,null,244536,131264,-0.08,188389,1204,-9777,-11143,-11126,223409,300217.SZ,357083,147941,indicators,2019
null,2432,16087,null,94786,67227,0.33,105214,657,7111,3952,8074,169484,300218.SZ,204786,90321,indicators,2019
null,-17401,78765,null,200197,157615,-1.23,182782,103,-87649,-81626,-92218,359357,300219.SZ,360183,174134,indicators,2019
null,467,2510,null,22585,10893,0.12,26499,-61,1513,1303,1606,21930,300220.SZ,38265,10996,indicators,2019
null,-6165,6349,null,99853,29639,0.02,99789,775,1008,-10740,238,151147,300221.SZ,145524,43761,indicators,2019
null,-16036,-1817,null,466493,373940,-3.67,191218,1745,-264290,-270732,-262284,231332,300222.SZ,635909,436562,indicators,2019
null,-937,1519,null,94978,5001,0.29,123536,3173,5866,-252,6279,33935,300223.SZ,130947,7410,indicators,2019
null,-1624,6511,null,255453,88535,0.11,261401,4148,9312,8428,8516,179856,300224.SZ,361203,95825,indicators,2019
null,3554,6536,null,79536,22881,0.06,90980,124,3008,1590,2869,81350,300225.SZ,117665,23767,indicators,2019
null,-18696,-63820,null,1040197,792761,1.13,114210,-338,18059,15363,33853,12257175,300226.SZ,1080416,796660,indicators,2019
null,5954,9930,null,75168,42001,0.31,108872,6,7209,6129,8875,79043,300227.SZ,175223,61577,indicators,2019
null,6453,33190,null,213206,202410,-0.69,141541,349,-32670,-34470,-33953,157384,300228.SZ,349231,208529,indicators,2019
null,11580,22151,null,144099,74947,0.33,207017,-1035,15720,15931,17704,96731,300229.SZ,288928,76897,indicators,2019
null,9714,50357,null,248543,121872,0.32,318446,14289,26363,12420,36184,326329,300230.SZ,460628,131330,indicators,2019
null,20670,14687,null,192342,125132,0.32,124054,764,13518,13048,15712,154218,300231.SZ,251498,127444,indicators,2019
null,-8285,46825,null,489775,415821,0.59,296675,7302,52991,42503,59988,560426,300232.SZ,751661,442280,indicators,2019
null,26499,57798,null,219017,117753,0.52,406417,-9,20329,6462,15533,279482,300233.SZ,559239,150755,indicators,2019
null,3090,-981,null,94546,35249,0.21,91948,793,5786,6805,6755,68533,300234.SZ,129813,37313,indicators,2019
null,7248,2428,null,45838,2884,0.19,62661,448,3219,1958,3582,10901,300235.SZ,65600,2932,indicators,2019
null,13333,3762,null,87773,30491,0.73,150237,30415,21032,-5327,26391,64099,300236.SZ,186194,34641,indicators,2019
null,9983,6275,null,864003,539585,0.06,354048,2689,8075,4542,12874,295462,300237.SZ,1057338,684600,indicators,2019
null,3484,9255,null,41628,27243,-1.75,71141,-1398,-46533,-47452,-48686,43789,300238.SZ,114935,44521,indicators,2019
null,-1320,-4163,null,47253,24327,0.07,99186,-63,3561,2601,3752,49182,300239.SZ,131435,32248,indicators,2019
null,-4034,5750,null,146053,117828,0.09,116652,270,3127,388,6011,323716,300240.SZ,256522,121366,indicators,2019
null,-258,18628,null,108278,78818,-0.24,119154,2418,-12612,-13928,-13149,137186,300241.SZ,212746,93078,indicators,2019
null,6709,17629,null,198776,138648,0.01,103411,93,849,-809,1270,552904,300242.SZ,243308,138886,indicators,2019
null,-3691,12234,null,64577,36054,0.32,67503,8,7453,7038,9521,121337,300243.SZ,104598,37095,indicators,2019
null,-43384,48319,null,670538,427835,0.56,398380,9955,34728,27191,77457,845321,300244.SZ,1075001,561182,indicators,2019
null,-5012,4975,null,109881,13718,0.11,143910,27,3368,2668,3086,42227,300245.SZ,159793,14397,indicators,2019
null,-261,8143,null,49446,26115,0.44,54754,-6,6471,6163,8983,82596,300246.SZ,96146,37562,indicators,2019
null,-8883,10006,null,55600,23129,-0.89,87623,7025,-71606,-77798,-72472,73015,300247.SZ,113453,24401,indicators,2019
null,19726,17528,null,146996,51239,0.33,165870,1121,15769,12581,17932,96402,300248.SZ,230648,55447,indicators,2019
null,-11350,3470,null,195416,158851,0.01,78488,2108,328,-2928,-859,117935,300249.SZ,281136,183287,indicators,2019
null,-904,5041,null,58970,16692,0.21,102926,347,4711,3765,4853,48583,300250.SZ,119924,16775,indicators,2019
null,64282,161905,null,480218,195556,0.32,893482,40652,94759,86773,111153,282945,300251.SZ,1098911,201075,indicators,2019
null,-11251,30328,null,301326,260001,0.12,239405,15941,7137,-11077,7313,267690,300252.SZ,527299,280690,indicators,2019
null,19787,23330,null,260595,110619,0.25,373333,-2006,39842,34178,41251,190801,300253.SZ,511890,121081,indicators,2019
null,-446,6963,null,64818,39321,0.03,81589,2084,530,-5940,-4112,113180,300254.SZ,180203,86943,indicators,2019
null,-17745,-5813,null,253422,118812,0.24,271493,null,22529,21641,26240,207148,300255.SZ,394259,122032,indicators,2019
null,17633,12487,null,556437,601189,0.18,184222,-2209,17425,1918,13373,634378,300256.SZ,1010029,672540,indicators,2019
null,-30025,2903,null,280720,272532,0.18,359664,729,15252,13701,18716,263331,300257.SZ,815222,456256,indicators,2019
null,13923,46415,null,104096,82728,0.43,201860,45,17386,15774,21424,122921,300258.SZ,324090,122230,indicators,2019
null,-6685,24580,null,206611,50860,0.23,218510,2895,27332,21723,32060,118083,300259.SZ,279527,54283,indicators,2019
null,23428,9024,null,157900,120155,0.31,82518,-32,6230,5498,6701,138723,300260.SZ,237211,153919,indicators,2019
null,-8749,9415,null,155728,136640,0.08,197176,177,8164,11469,17090,166442,300261.SZ,357907,150148,indicators,2019
null,2331,-9790,null,212716,210192,0.12,236171,11601,8053,3642,7644,95897,300262.SZ,591977,353979,indicators,2019
null,-12376,25835,null,242068,151512,0.19,273537,-419,17436,15953,24637,187354,300263.SZ,468345,166930,indicators,2019
null,-1845,3091,null,36361,17509,-0.38,30767,-22,-15757,-16170,-16910,16427,300264.SZ,48842,17934,indicators,2019
null,32748,16299,null,173036,104949,0.08,106362,-2021,2710,1911,4542,147590,300265.SZ,252262,138627,indicators,2019
null,12746,9635,null,841517,580582,0.02,250508,546,3544,-2333,6582,207358,300266.SZ,1063579,782075,indicators,2019
null,-7390,44582,null,275400,25559,0.08,575888,281,16153,14499,18417,274434,300267.SZ,614377,35072,indicators,2019
null,33147,25008,null,398424,453833,-0.94,7340,1352,-12642,-13506,-21102,342774,300268.SZ,1164034,1092242,indicators,2019
null,-4033,12211,null,165969,215036,-2.32,55812,1547,-138111,-139641,-125561,301357,300269.SZ,279993,223813,indicators,2019
null,-3365,-8481,null,82934,37745,-0.29,92544,369,-8747,-9819,-9253,23565,300270.SZ,132196,39698,indicators,2019
null,64831,47311,null,448158,129453,0.74,593669,87,58039,55802,63583,351015,300271.SZ,730998,131490,indicators,2019
null,-585,11440,null,73047,59836,0.17,119543,4357,10051,8142,15873,105253,300272.SZ,197273,74338,indicators,2019
null,26321,1169,null,333399,151851,0.05,253137,1326,4133,969,5033,121827,300273.SZ,650094,377387,indicators,2019
null,86438,248042,null,1842930,1219289,0.61,859420,2249,89255,90537,104782,1300333,300274.SZ,2281913,1406432,indicators,2019
null,-582,2627,null,34979,22963,0.16,50474,405,2659,2423,2215,27081,300275.SZ,76201,25493,indicators,2019
null,4392,11730,null,274522,172018,0.35,364373,43,27139,24604,30687,194543,300276.SZ,544360,178013,indicators,2019
null,-2949,9104,null,77586,32863,0.03,46923,1019,1084,635,1815,32763,300277.SZ,81566,33059,indicators,2019
null,-2647,-1775,null,172837,194360,-2.78,28816,330,-154187,-104220,-98870,158330,300278.SZ,302211,273464,indicators,2019
null,-1322,2138,null,130263,146488,0.01,90458,-1673,563,-1313,1059,145869,300279.SZ,240852,150446,indicators,2019
null,-955,28355,null,104929,50604,1.09,180854,918,16933,15576,38117,86132,300280.SZ,252710,51129,indicators,2019
null,-4545,2279,null,92613,23330,0.06,122876,3977,2459,-2764,2989,28347,300281.SZ,150221,27345,indicators,2019
null,57519,15355,null,174318,41076,0.03,248248,291,1206,-2420,528,68184,300282.SZ,294660,41989,indicators,2019
null,-271,6231,null,66493,72873,0.06,61403,136,2611,1313,2475,193607,300283.SZ,145107,83437,indicators,2019
null,-42330,68461,null,1036734,733064,0.74,481973,393,72361,71484,87849,596719,300284.SZ,1335114,820429,indicators,2019
null,-1580,48426,null,196406,73104,0.52,365227,203,50056,47103,62082,215308,300285.SZ,480566,85072,indicators,2019
null,1889,16327,null,83157,36121,0.54,75840,1224,11327,9283,11858,60021,300286.SZ,112096,36256,indicators,2019
null,-5516,29768,null,299346,112597,0.02,380747,708,3209,2033,3189,147235,300287.SZ,499463,117158,indicators,2019
null,8399,10105,null,50507,24627,0.2,136708,2342,6591,5565,7284,43571,300288.SZ,185618,44049,indicators,2019
null,1617,12465,null,74860,17058,0.02,131680,-3,631,548,3140,51514,300289.SZ,171416,26418,indicators,2019
null,8980,8030,null,93280,43022,0.08,108982,139,4315,4136,4619,72377,300290.SZ,159798,50172,indicators,2019
null,-34362,11041,null,293544,17886,0.14,307812,3279,11379,4316,12866,61143,300291.SZ,328356,18760,indicators,2019
null,7277,-1654,null,151924,104601,0.05,157061,963,6887,1179,11094,354063,300292.SZ,262540,104957,indicators,2019
null,238,-2295,null,139275,80839,0.06,78594,143,1540,-569,1048,143020,300293.SZ,233990,138278,indicators,2019
null,-62521,-11451,null,305298,95651,1,391173,13,42615,40880,51412,290877,300294.SZ,525669,126810,indicators,2019
null,12489,-773,null,212276,109378,0.53,124673,1890,10148,6862,13546,47243,300295.SZ,246624,112543,indicators,2019
null,39051,91322,null,1074418,587684,0.28,838498,-259,70395,73071,95490,904747,300296.SZ,1537800,697024,indicators,2019
null,-96101,-28846,null,503947,391310,-0.77,384868,64,-93652,-94645,-91974,191944,300297.SZ,864052,463566,indicators,2019
null,-33489,52281,null,128689,40017,0.44,264894,-6203,25068,22549,27418,177821,300298.SZ,328151,63257,indicators,2019
null,-1573,10413,null,85537,73279,-0.78,49965,25076,-56094,-91247,-52664,46767,300299.SZ,142008,91181,indicators,2019
null,-11228,-5198,null,109043,96970,-1.16,152395,6882,-79330,-89044,-83688,45153,300300.SZ,245925,96987,indicators,2019
null,571,12319,null,144291,166243,-0.54,119194,41,-42946,-44037,-46724,161702,300301.SZ,325903,206630,indicators,2019
null,-2315,-1590,null,59237,23374,0.03,117031,104,1122,910,765,34545,300302.SZ,155460,38430,indicators,2019
null,-4721,49815,null,281966,181751,0.25,220561,1604,30843,26725,35472,250686,300303.SZ,412588,191215,indicators,2019
null,-23584,15673,null,194106,54706,0.16,197891,7318,13863,7074,16026,71416,300304.SZ,266448,60076,indicators,2019
null,-2254,14401,null,121243,22445,0.33,150960,2657,9437,7491,10770,87456,300305.SZ,174787,23827,indicators,2019
null,5309,16841,null,94399,15834,0.44,140257,845,12312,7367,13123,41793,300306.SZ,159277,18596,indicators,2019
null,-14418,7813,null,234721,73440,-1.09,318895,5086,-87430,-94489,-86601,152103,300307.SZ,396165,74659,indicators,2019
null,19501,56946,null,599134,282608,0.73,692622,6758,51349,42950,57638,475768,300308.SZ,1049117,356495,indicators,2019
null,-6410,6364,null,337185,322087,-1.37,67482,140,-119087,-120493,-125076,118185,300309.SZ,615738,545537,indicators,2019
null,42575,24132,null,209722,80342,0.04,175746,14707,3172,-15289,1486,248572,300310.SZ,254854,80642,indicators,2019
null,-4035,355,null,109196,62512,-0.15,88454,2975,-10125,-24617,-20860,99626,300311.SZ,161223,66246,indicators,2019
null,1453,2633,null,38734,42949,0.02,9074,472,513,-1636,-1811,6954,300312.SZ,54466,43280,indicators,2019
null,-12058,-3494,null,14119,91649,-0.19,14922,184,-6079,-10009,-9227,22901,300313.SZ,114340,99665,indicators,2019
null,8649,8857,null,67789,13348,0.22,82885,1710,6206,4934,7201,35635,300314.SZ,96513,13628,indicators,2019
null,43740,51488,null,190060,37472,0.13,554822,12125,36360,40966,36630,161695,300315.SZ,598716,44029,indicators,2019
null,6878,77880,null,567518,308530,0.5,455108,2113,63740,60951,73252,310974,300316.SZ,786254,314613,indicators,2019
null,-11217,39102,null,190171,179834,-1.28,190955,-2450,-107503,-101551,-103769,84096,300317.SZ,431474,239407,indicators,2019
null,-7250,-3603,null,98316,140205,0,103140,-28,254,-1132,1108,62834,300318.SZ,269460,164246,indicators,2019
null,1716,24032,null,174353,111876,0.06,205867,939,4509,943,6537,181774,300319.SZ,339345,125665,indicators,2019
null,186,20469,null,190125,98858,0.37,168968,107,22441,21993,26628,224120,300320.SZ,284345,111588,indicators,2019
null,8716,10878,null,41331,9622,0.44,65046,134,3946,3368,4279,45634,300321.SZ,75943,10897,indicators,2019
null,3510,16471,null,113175,103450,0.23,65665,6087,9288,4378,9997,174951,300322.SZ,180400,110021,indicators,2019
null,17838,41405,null,539466,479982,-0.96,480906,24328,-104786,-137253,-108159,271633,300323.SZ,1157190,676284,indicators,2019
null,-29357,65986,null,432250,241970,0.15,525014,1672,25864,23097,31639,332939,300324.SZ,795531,260580,indicators,2019
null,-38374,-67162,null,185858,207503,-0.58,79236,28,-58820,-64731,-67628,115083,300325.SZ,333533,229856,indicators,2019
null,-21965,25561,null,192014,65934,0.42,274831,263,30233,28264,35923,122229,300326.SZ,377017,101811,indicators,2019
null,15851,21956,null,112611,20112,0.75,96662,2471,18933,17993,19230,83415,300327.SZ,119877,20733,indicators,2019
null,-2471,10765,null,101941,47392,0.22,131554,187,10309,2578,4566,102508,300328.SZ,203065,56826,indicators,2019
null,-13536,-4242,null,58657,26467,0.21,96946,1718,5203,4903,5667,55353,300329.SZ,124988,27654,indicators,2019
null,10650,7560,null,49157,22352,0.03,37213,192,512,117,389,26062,300330.SZ,59820,22607,indicators,2019
null,-8972,5397,null,126189,88231,0.45,151431,-13,10089,8905,11978,129717,300331.SZ,244224,91769,indicators,2019
null,-7540,47904,null,189460,359940,0.05,340021,879,4717,1601,3231,180711,300332.SZ,786117,432514,indicators,2019
null,-20286,804,null,51312,3542,0.04,84435,256,1266,364,4262,23967,300333.SZ,88766,3542,indicators,2019
null,-7127,12442,null,88596,100047,-2.75,83248,1848,-83310,-82730,-80720,51634,300334.SZ,202057,111178,indicators,2019
null,7627,42877,null,143197,94204,0.23,153251,2755,8204,6420,15378,146096,300335.SZ,338890,157645,indicators,2019
null,-27290,6410,null,87939,63609,-1.18,202528,8239,-94845,-92450,-102731,55605,300336.SZ,325648,121805,indicators,2019
null,69,-14612,null,143882,152261,0.02,147553,6839,1657,-11132,2359,202491,300337.SZ,305277,159212,indicators,2019
null,2326,16556,null,80714,72206,-1.84,143015,889,-63498,-60624,-57311,148935,300338.SZ,218642,72431,indicators,2019
null,-48963,10986,null,247072,134383,-2.3,282072,1941,-179423,-182376,-181157,212117,300339.SZ,462712,180907,indicators,2019
null,-8402,32100,null,197965,174261,0.14,144925,-784,3043,1196,2644,183991,300340.SZ,333608,188522,indicators,2019
null,3449,16984,null,110895,27092,0.29,98225,-53,14831,13991,18734,111809,300341.SZ,162134,54480,indicators,2019
null,-24343,5015,null,110815,40863,0.33,142267,-39,14155,11908,16075,94534,300342.SZ,186070,42258,indicators,2019
null,12637,11331,null,241190,167888,-1.27,85285,340,-147398,-148344,-146241,351375,300343.SZ,328665,233919,indicators,2019
null,-1878,6703,null,38263,39294,0.03,59942,null,1583,1430,2498,45187,300344.SZ,99535,39359,indicators,2019
null,8320,5583,null,31109,7344,0.11,49449,448,4797,-2157,4968,12329,300345.SZ,58259,8106,indicators,2019
null,42576,27864,null,118100,37751,0.14,121972,1990,5501,3682,6602,32138,300346.SZ,221214,83944,indicators,2019
null,133890,52756,null,336996,179069,1.13,422546,17983,84163,55812,108465,280331,300347.SZ,753265,201100,indicators,2019
null,-2233,10883,null,157571,51381,0.3,148733,-218,13793,12911,14219,131113,300348.SZ,219479,69646,indicators,2019
null,-597,44865,null,291742,105292,0.98,368457,3495,42031,37210,48818,197213,300349.SZ,493137,121736,indicators,2019
null,5588,12320,null,117844,82804,-1.11,44695,-1,-52885,-53325,-48049,59131,300350.SZ,151836,88758,indicators,2019
null,-4063,-1368,null,161552,44172,-1.12,188007,3139,-42980,-45407,-41682,108029,300351.SZ,241043,48691,indicators,2019
null,-34793,-9184,null,196680,54315,0.02,224991,153,2238,1013,1673,72198,300352.SZ,280010,54913,indicators,2019
null,17103,3638,null,186541,86705,-0.86,171957,-946,-44146,-62201,-45641,81599,300353.SZ,327675,154078,indicators,2019
null,-1641,1863,null,27535,3056,0.22,38404,106,3043,2632,3493,17774,300354.SZ,42499,4095,indicators,2019
null,52622,-44218,null,707517,719242,0.04,445584,763,6096,1290,6864,285176,300355.SZ,1618325,1083550,indicators,2019
null,6955,21628,null,73776,35373,0.06,107850,3291,2519,78,3109,40910,300356.SZ,175608,67341,indicators,2019
null,-31022,23293,null,105000,6003,0.57,127100,199,29830,29424,34337,63935,300357.SZ,142821,7625,indicators,2019
null,9658,27422,null,299427,194391,0.1,238335,1137,4689,1845,4782,191597,300358.SZ,449508,208031,indicators,2019
null,-1998,17461,null,82619,56808,-1.11,62398,1063,-70498,-71634,-71895,71770,300359.SZ,135084,64049,indicators,2019
null,-10617,20337,null,220711,47409,0.6,218045,593,24294,20142,27672,89239,300360.SZ,267618,49225,indicators,2019
null,35,-1999,null,339413,512375,-4.38,-173251,1410,-185750,-104645,-138644,41980,300362.SZ,423341,595081,indicators,2019
null,-27432,35137,null,192652,64719,0.35,306668,783,18555,16209,19469,155130,300363.SZ,395548,89116,indicators,2019
null,10955,3422,null,91803,31667,-0.79,141585,812,-60329,-64509,-58112,70538,300364.SZ,180258,38446,indicators,2019
null,-3564,-6352,null,248733,67376,0.49,214263,2162,29506,27232,32736,112317,300365.SZ,281880,67376,indicators,2019
null,-7738,-3289,null,256943,133419,0.23,245928,-130,11840,10989,12501,197137,300366.SZ,385540,142860,indicators,2019
null,-69006,-57342,null,217886,257076,-2.67,76470,5333,-317655,-274509,-316917,36204,300367.SZ,404292,325891,indicators,2019
null,-7219,-13438,null,108190,80758,0.08,87397,580,4461,3249,8270,84652,300368.SZ,196291,99895,indicators,2019
null,6155,34602,null,297380,66244,0.28,338311,4410,22651,18375,23895,167109,300369.SZ,408228,69997,indicators,2019
null,-7423,34869,null,204946,234444,0,86910,44,402,-3450,320,128678,300370.SZ,365178,263914,indicators,2019
null,-45,9975,null,47686,9664,0.66,71516,546,10966,10180,12795,36026,300371.SZ,82708,11192,indicators,2019
null,18974,37208,null,173015,79295,0.48,254343,1777,22515,20945,26311,200708,300373.SZ,352873,89113,indicators,2019
null,-1790,24331,null,115652,113547,0.27,153239,1823,6732,4587,8903,95413,300374.SZ,291507,138268,indicators,2019
null,-8406,14490,null,132372,50762,0.22,223744,20,13602,1668,17612,160099,300375.SZ,297952,74208,indicators,2019
null,-3522,-47501,null,655441,528286,0.18,525557,1364,41173,34274,43267,387350,300376.SZ,1267696,716738,indicators,2019
null,10008,12459,null,149210,28835,0.18,280865,12827,13644,2111,12158,65558,300377.SZ,318545,30577,indicators,2019
null,-27796,23865,null,121633,85135,0.39,140193,1064,10336,8908,14263,146672,300378.SZ,226980,85888,indicators,2019
null,-1961,8759,null,86185,43125,0.53,165530,125,14129,11927,15328,49997,300379.SZ,215622,50092,indicators,2019
null,-1550,4341,null,53594,14947,0.23,44800,-1,3109,4836,5973,64680,300380.SZ,64434,16517,indicators,2019
null,-70840,44217,null,204184,111508,0.31,246521,-157,12752,9811,19268,204813,300381.SZ,451808,178932,indicators,2019
null,22964,15539,null,145957,86620,0.17,96940,20,9740,8728,10932,79182,300382.SZ,193749,93925,indicators,2019
null,-5358,60297,null,360408,196900,0.54,834840,1283,82459,82187,91693,709717,300383.SZ,1223321,388771,indicators,2019
null,-12043,16425,null,170151,78578,0.58,184970,3505,18369,17128,21263,84112,300384.SZ,288182,100666,indicators,2019
null,4660,11342,null,188943,147749,0.43,121931,3863,8984,6290,11190,124253,300385.SZ,332273,198752,indicators,2019
null,-15873,11916,null,176356,14975,0.22,183414,2417,9023,4728,8231,93962,300386.SZ,200480,15752,indicators,2019
null,5866,8626,null,69405,32210,0.21,117853,409,6091,5073,6454,58203,300387.SZ,151466,32450,indicators,2019
null,81306,80683,null,443865,497716,0.54,344988,782,32643,31333,39422,416981,300388.SZ,1445988,1071508,indicators,2019
null,10220,29852,null,166806,95500,0.34,127902,191,10725,9079,12446,218057,300389.SZ,223990,96350,indicators,2019
null,-9174,14722,null,39330,23261,0.11,88115,80,6184,5892,7471,75814,300390.SZ,114663,24912,indicators,2019
null,1911,2230,null,109400,74399,-1.91,75786,null,-66970,-67679,-68096,72531,300391.SZ,152313,77119,indicators,2019
null,22336,-18582,null,122400,43470,0.09,52392,null,3426,1949,6205,148060,300392.SZ,160537,106318,indicators,2019
null,16655,11066,null,422086,318089,0.69,279628,-707,24320,18947,35271,347790,300393.SZ,859499,509437,indicators,2019
null,-4386,17685,null,88406,15236,0.84,116956,1887,16659,14898,19202,52293,300394.SZ,134472,17322,indicators,2019
null,66082,21162,null,144653,20457,0.63,189582,26,19157,18457,21934,77902,300395.SZ,216154,25788,indicators,2019
null,7818,29110,null,96898,26733,0.85,152488,184,23189,22064,30332,100879,300396.SZ,206232,32753,indicators,2019
null,-4702,8115,null,95600,50101,0.36,113617,153,8678,6058,16797,86778,300397.SZ,179380,52908,indicators,2019
null,64567,18729,null,239342,176475,0.5,241246,149,25514,16781,30577,151331,300398.SZ,473034,225657,indicators,2019
null,-3180,-2188,null,44353,2573,0.1,44722,529,1879,1554,3457,56530,300399.SZ,51007,5175,indicators,2019
null,3303,-3102,null,70602,43664,0.1,53700,309,2257,851,1889,49539,300400.SZ,107012,52801,indicators,2019
null,32093,36654,null,101259,33288,0.72,174303,1211,34371,32948,39860,71838,300401.SZ,207961,33657,indicators,2019
null,-841,1289,null,117194,104722,0.17,64758,null,3451,2694,2743,91705,300402.SZ,171920,107161,indicators,2019
null,-8922,21091,null,70923,24828,0.27,137434,388,16307,14960,17955,86380,300403.SZ,165205,27285,indicators,2019
null,211,9,null,28643,16091,0.04,42265,246,659,184,1233,22406,300404.SZ,63308,17700,indicators,2019
null,-2239,13767,null,110545,78642,0.05,81603,-376,1078,-1655,-3809,94375,300405.SZ,164396,81899,indicators,2019
null,-25445,18860,null,105991,15597,0.66,197095,null,33165,31375,37775,84086,300406.SZ,215403,18309,indicators,2019
null,17589,23587,null,221214,97523,0.24,134344,296,6823,5113,7408,180871,300407.SZ,259805,124478,indicators,2019
null,18914,171466,null,529826,47936,0.5,750992,8606,87126,79498,101134,272645,300408.SZ,857168,106176,indicators,2019
null,-29017,104075,null,221809,143154,0.05,247063,-534,2400,623,1403,298642,300409.SZ,444501,197189,indicators,2019
null,-7162,-6862,null,157929,128279,-2.42,93930,11976,-92457,-94356,-96281,104597,300410.SZ,242511,147509,indicators,2019
null,-3832,-10627,null,135435,24296,0.11,152519,426,5157,-15350,13718,52154,300411.SZ,196959,42451,indicators,2019
null,-2932,4151,null,116497,66631,0.2,79618,null,5131,3434,7610,70316,300412.SZ,151717,67816,indicators,2019
null,252649,29287,null,1172803,793559,0.66,878386,647,115629,109304,117773,1250066,300413.SZ,1707821,825825,indicators,2019
null,7345,2064,null,85810,11946,0.15,88178,1387,4994,4392,5380,40053,300414.SZ,101193,13260,indicators,2019
null,7590,30070,null,172285,121171,0.45,127861,1575,19283,17132,21891,211385,300415.SZ,286536,155934,indicators,2019
null,4400,8289,null,133059,126021,0.65,84463,5,8730,7191,11825,78810,300416.SZ,225636,131777,indicators,2019
null,-2997,22742,null,48909,14229,2.75,51649,428,21972,21912,25733,59871,300417.SZ,68035,16386,indicators,2019
null,-9902,116979,null,353836,535350,1.13,469144,65241,129512,126832,147846,368788,300418.SZ,1025738,556633,indicators,2019
null,3757,574,null,98597,40363,-0.08,81117,1261,-2960,-3819,-2925,62105,300419.SZ,122406,40391,indicators,2019
null,1116,2822,null,161627,97964,0.22,167723,-31,15540,14573,17215,129138,300420.SZ,280181,99885,indicators,2019
null,1153,3064,null,66389,23918,0.16,112462,406,3869,3110,4419,72937,300421.SZ,141025,28563,indicators,2019
null,13630,10483,null,381655,484222,0.79,178999,773,28244,25938,32324,324360,300422.SZ,918231,718430,indicators,2019
null,-12038,-17566,null,562542,437293,1.22,346437,731,59300,58519,67559,394219,300423.SZ,784136,437699,indicators,2019
null,13401,19514,null,146060,95104,0.28,102258,1218,6768,5116,6550,149463,300424.SZ,248917,146487,indicators,2019
null,-3198,15551,null,184106,126013,0.23,170185,427,15633,13556,18365,123178,300425.SZ,335225,149312,indicators,2019
null,10482,19656,null,210654,183659,-0.27,15885,-403,-10675,-10497,-12680,-11486,300426.SZ,228776,215133,indicators,2019
null,14130,23912,null,187842,181340,0.66,223440,1223,23472,21020,29322,134047,300427.SZ,479304,244765,indicators,2019
null,-15098,60520,null,413276,232471,0.77,382814,-181,43668,38217,49954,642689,300428.SZ,685251,300225,indicators,2019
null,-4858,18656,null,92339,28100,0.29,167524,1237,15061,13695,17262,86391,300429.SZ,210315,36449,indicators,2019
