_id,name,stockCode,__v,age,createdAt,degree,description,gender,group,is13NPCMember,isCCPMember,lastUpdated,salary,stockAmount,stockName,title,updatedAt,subSentence,tinySentence,department,departmentStart,departmentEnd
5f656f7fade9005a1eca2b27,翟新生,000400,0,68,2020-09-19T02:39:59.442Z,硕士,"翟新生先生,1952年8月生,注册会计师,学士学位。曾任河南财经政法大学会计学院教授、硕士生导师,河南省审计学会、河南省科技会计协会常务理事,河南教育审计协会理事,河南省财政厅新会计准则执行咨询专家组专家、企业内部控制咨询专家,国家统计局专家组成员,河南省委宣传部、河南省科技厅、河南省审计厅、河南省财政厅专家库成员,曾任上市公司豫能控股独立董事。2015年4月兼任上市公司神火股份独立董事,2016年6月至今,任许继电气股份有限公司独立董事。目前已退休。",男,board,,,2019-10-16T00:00:00.000Z,80000,0,许继电气,独立董事,2020-12-21T04:18:00.032Z,河南省委宣传部、河南省科技厅、河南省审计厅、河南省财政厅专家库成员,河南省委宣传部,省委,2,4
5f656fcaade9005a1eca3a73,于清,000409,0,56,2020-09-19T02:41:14.399Z,本科,"于清先生,1964年10月出生,中国国籍,无境外永久居留权,大学学历。现任山东地矿股份有限公司党委副书记、工会主席。历任淄博市商业局宣传教育科科员,桓台县侯庄乡经委副主任,淄博市商业局宣教科科员、副科长,淄博市委组织部干部教育调配科、青干科、下派办、知工科副科级巡视员,淄博市委组织部干审科、干部监督科副科长、主任科员,淄博市*电教中心副主任,淄博市党员干部现代远程教育中心主任助理、副主任、网络管理科科长,淄博市援川指挥部党委委员、纪委书记,淄博市周村区政府副区长、区政府党组成员,淄博市周村区委常委、区纪委书记,淄博市交通运输局副局长、党委委员,济南阳光壹佰房地产开发公司副总经理。",男,board,,1,2020-02-15T00:00:00.000Z,0,0,ST地矿,职工董事,2020-12-21T04:18:32.220Z,淄博市委组织部干审科、干部监督科副科长、主任科员,淄博市委组织部干审科,市委,2,4
5f656fbdade9005a1eca3759,刘志强,000407,0,59,2020-09-19T02:41:01.876Z,硕士,"刘志强先生,1961年10月生,研究生学历,高级经济师,中国籍。历任山东省工商联咨询处副主任科员,中国民主建国会山东省委员会咨询处、组织处主任科员,调研处负责人,山东胜利股份有限公司证券部经理、董事会秘书、总经济师,现任山东胜利股份有限公司副监事长兼副督察长。",男,supervisoryCommittee,,1,2018-05-30T00:00:00.000Z,215600,8417,胜利股份,副监事长,2021-01-21T01:03:54.433Z,中国民主建国会山东省委员会咨询处、组织处主任科员,中国民主建国会山东省委员会咨询处,省委,9,11
5f65702fade9005a1eca52a7,季东胜,000425,0,52,2020-09-19T02:42:55.685Z,本科,"季东胜,男,汉族,内蒙古翁牛特旗人,1968年2月出生,本科学历,人力资源管理师。教育背景:1985.10-1987.07,合肥炮兵学院,地炮技师,中专;1997.10-1999.05,徐州经济管理干部学院,经济管理专业,专科;1999.10-2001.12,中央党校函授学院,经济管理专业,本科。工作经历:1987.07-1989.03,解放军83571部队,70分部营技师,服役;1989.06-1993.01,徐州徐工液压件有限公司,机加工车间工人,一线生产;1993.02-1995.03,徐州徐工液压件有限公司,团委副书记、书记,企业管理;1995.04-1999.03,徐州徐工液压件有限公司,劳工科科长、团委书记,企业管理;1999.03-2001.05,徐州徐工液压件有限公司,综合管理部副部长、劳动人事科科长,企业管理;2001.06-2005.05,徐州徐工液压件有限公司,组织人事部部长,企业管理;2005.05-2011.04,徐州徐工液压件有限公司,管理部部长,企业管理;2011.05-2011.07,徐州徐工液压件有限公司,总经理助理,企业管理;2011.08-2013.06,徐州徐工液压件有限公司,党委副书记,企业管理;2013.07-至今,徐州工程机械集团有限公司、徐工集团工程机械有限公司、徐工集团工程机械股份有限公司,纪委副书记,企业管理。2015.06-至今任徐工集团工程机械股份有限公司纪委副书记、监事。",男,supervisoryCommittee,,1,2017-07-29T00:00:00.000Z,523900,0,徐工机械,监事,2021-01-21T01:03:59.694Z,中央党校函授学院,中央党校函授学院,中央党校,0,4
5f656fbdade9005a1eca3738,张宇锋,000407,0,57,2020-09-19T02:41:01.744Z,硕士,"张宇锋先生,1963年11月出生,硕士,经济师,*,无境外永久居留权,1989年至1999年先后在中纪委驻卫生部纪检组、中国康华房地产开发公司、中国建筑工程总公司进出口部从事行政管理、房地产开发、进出口贸易等工作。1999年至今任北京市华城律师事务所创始合伙人、主任,2019年10月至今任北京市广银律师事务所律师,现兼任中国政法大学金融法研究中心研究员,中国政法大学国际银行法律实务研究中心研究员,中国贸促会、中国国际商会调解中心商事调解员、广州仲裁委员会仲裁员、武汉仲裁委员会仲裁员、无锡仲裁委员会仲裁员、中国保健协会常务理事兼副秘书长、中华全国律师协会金融证券保险专业委员会委员,上市公司胜利股份、德展健康的独立董事,互联网金融安全专家顾问委员会委员等职务。2017年2月至今任河南辉煌科技股份有限公司独立董事。",男,board,,1,2018-05-30T00:00:00.000Z,120000,0,胜利股份,独立董事,2020-12-21T04:18:23.751Z,1989年至1999年先后在中纪委驻卫生部纪检组、中国康华房地产开发公司、中国建筑工程总公司进出口部从事行政管理、房地产开发、进出口贸易等工作,1989年至1999年先后在中纪委驻卫生部纪检组,纪委,15,17
5f656fb3ade9005a1eca3453,周冠鑫,000403,0,49,2020-09-19T02:40:51.217Z,本科,"周冠鑫,中国国籍,无境外永久居留权,男,1971年生。1993年本科毕业于杭州大学地理系水资源与环境专业。先后任职于金华市水利局、金华市委办公室、浙江省食品药品监督管理局、浙江省工商业联合会。2015年5月至今任浙江民营企业联合投资股份有限公司副总裁。",男,supervisoryCommittee,,,2018-12-18T00:00:00.000Z,0,0,双林生物,监事,2020-12-21T04:18:15.439Z,先后任职于金华市水利局、金华市委办公室、浙江省食品药品监督管理局、浙江省工商业联合会,金华市委办公室,市委,2,4
5f656fe9ade9005a1eca420d,张建军,000416,0,58,2020-09-19T02:41:45.985Z,本科,"张建军先生,本科学历,*,高级职称,先后在中国人民警官大学新闻系、新华社国内部、中共黑龙江省委办公厅、中央农村工作领导小组办公室任职。曾任中国泛海控股集团有限公司副总裁、制度及公共事务管理总部总经理(兼),泛海公益基金会理事、副秘书长(兼),中国泛海控股集团有限公司副总裁、董事会秘书、董事会监事会办公室(集团公司办公室)主任(兼),泛海公益基金会理事、副秘书长(兼),现任中国泛海控股集团有限公司董事、副总裁、董事会秘书、董事会监事会办公室(集团公司办公室)主任(兼),泛海公益基金会理事、副秘书长(兼)。",男,board,,1,2020-05-16T00:00:00.000Z,0,0,民生控股,"副董事长,董事",2020-12-21T04:18:50.358Z,先后在中国人民警官大学新闻系、新华社国内部、中共黑龙江省委办公厅、中央农村工作领导小组办公室任职,中共黑龙江省委办公厅,中共,0,2
5f656fe9ade9005a1eca420d,张建军,000416,0,58,2020-09-19T02:41:45.985Z,本科,"张建军先生,本科学历,*,高级职称,先后在中国人民警官大学新闻系、新华社国内部、中共黑龙江省委办公厅、中央农村工作领导小组办公室任职。曾任中国泛海控股集团有限公司副总裁、制度及公共事务管理总部总经理(兼),泛海公益基金会理事、副秘书长(兼),中国泛海控股集团有限公司副总裁、董事会秘书、董事会监事会办公室(集团公司办公室)主任(兼),泛海公益基金会理事、副秘书长(兼),现任中国泛海控股集团有限公司董事、副总裁、董事会秘书、董事会监事会办公室(集团公司办公室)主任(兼),泛海公益基金会理事、副秘书长(兼)。",男,board,,1,2020-05-16T00:00:00.000Z,0,0,民生控股,"副董事长,董事",2020-12-21T04:18:50.358Z,先后在中国人民警官大学新闻系、新华社国内部、中共黑龙江省委办公厅、中央农村工作领导小组办公室任职,中共黑龙江省委办公厅,省委,5,7
5f657052ade9005a1eca5bc7,魏士荣,000498,0,55,2020-09-19T02:43:30.527Z,硕士,"魏士荣,男,1965年1月出生,硕士研究生,美国加州州立大学访问学者,注册中国律师、国际工程合同专家认证(B)级、注册投资项目分析师、注册中国并购交易师、英国皇家特许建造师学会(CIOB)会员、仲裁员。曾任山东圣慧律师事务所副主任、高级合伙人,山东高速股份有限公司独立董事、世纪金榜集团股份有限公司独立董事。现任北京大成(济南)律师事务所高级合伙人,国家发展与改革委员会PPP专家库法律专家、中共济南市委法律顾问、中国政法大学政府和社会资本合作(PPP)研究中心法律专家、山东政法学院兼职教授。",男,board,,,2020-06-24T00:00:00.000Z,0,0,山东路桥,独立董事,2020-12-21T04:20:31.211Z,国家发展与改革委员会PPP专家库法律专家、中共济南市委法律顾问、中国政法大学政府和社会资本合作(PPP)研究中心法律专家、山东政法学院兼职教授,中共济南市委法律顾问,中共,0,2
5f657052ade9005a1eca5bc7,魏士荣,000498,0,55,2020-09-19T02:43:30.527Z,硕士,"魏士荣,男,1965年1月出生,硕士研究生,美国加州州立大学访问学者,注册中国律师、国际工程合同专家认证(B)级、注册投资项目分析师、注册中国并购交易师、英国皇家特许建造师学会(CIOB)会员、仲裁员。曾任山东圣慧律师事务所副主任、高级合伙人,山东高速股份有限公司独立董事、世纪金榜集团股份有限公司独立董事。现任北京大成(济南)律师事务所高级合伙人,国家发展与改革委员会PPP专家库法律专家、中共济南市委法律顾问、中国政法大学政府和社会资本合作(PPP)研究中心法律专家、山东政法学院兼职教授。",男,board,,,2020-06-24T00:00:00.000Z,0,0,山东路桥,独立董事,2020-12-21T04:20:31.211Z,国家发展与改革委员会PPP专家库法律专家、中共济南市委法律顾问、中国政法大学政府和社会资本合作(PPP)研究中心法律专家、山东政法学院兼职教授,中共济南市委法律顾问,市委,4,6
