_id,name,company,title,href,includes,description
5f6583cbade9005a1ece50d5,郭建生,新华都,郭建生(东华大学纺织学院副院长),https://baike.baidu.com/item/%E9%83%AD%E5%BB%BA%E7%94%9F/3456053,0,郭建生，男，东华大学纺织学院副院长，研究领域为纺织专业导论、纺织品整理学、工程检测技术与控制器等。工作业绩 近几年共发表学术论文20篇，其中SCI、ISTP收录3篇...
5f6583cfade9005a1ece51c7,吴以国,西仪股份,,,0,
5f6583e2ade9005a1ece5600,段启广,卫士通,,,0,
5f6583afade9005a1ece4a06,陈翔,兆新,,,0,
5f6583c7ade9005a1ece4ff2,沈亚平,大东南,沈亚平(大东南董事),https://baike.baidu.com/item/%E6%B2%88%E4%BA%9A%E5%B9%B3/53384417,102,"沈亚平,大东南董事。职务 董事 公司 大东南  性别 男 学历 本科沈亚平先生:1978年9月出生,中国国籍,无境外永久居留权,本科学历。曾任诸暨市水务集团办公室科员、..."
5f6583cbade9005a1ece5117,龚水金,新华都,,,0,
5f6583cfade9005a1ece51bd,王晓畅,西仪股份,,,0,
5f6583d0ade9005a1ece5234,王家兴,西仪股份,,,0,
5f6583d6ade9005a1ece5372,黄俊,浙富控股,,,0,
5f6583e3ade9005a1ece56ca,刘志惠,卫士通,,,0,
5f6583e3ade9005a1ece56d4,董贵山,卫士通,,,0,
5f6583e7ade9005a1ece5793,沈福俊,美邦服饰,,,0,
5f6583e7ade9005a1ece57a8,郑俊豪,美邦服饰,郑俊豪,/item/%E9%83%91%E4%BF%8A%E8%B1%AA,0,郑俊豪，男，1969年出生，中国籍。现任裕福控股集团有限公司董事长，云锋基金发起及投资人之一。人物经历 2010年4月16日，郑俊豪出席由《英才》杂志主办的“2010第...
5f6583aeade9005a1ece49b5,李化春,兆新,,,0,
5f6583b3ade9005a1ece4aa6,靳建立,利尔化学,,,0,
5f6583b4ade9005a1ece4b69,古美华,利尔化学,,,0,
5f6583c0ade9005a1ece4ea2,邢霓虹,拓维信息,,,0,
5f6583c4ade9005a1ece4f3d,吴永和,恩华药业,,,0,
5f6583c4ade9005a1ece4f73,段保州,恩华药业,,,0,
5f6583c7ade9005a1ece5026,周明良,大东南,,,0,
5f6583cbade9005a1ece510d,林波,新华都,"林波(金蝶国际执行董事,首席财务官)",/item/%E6%9E%97%E6%B3%A2/53464057,0,首席财务官兼副总裁。2016年6月起任公司董事长，任期至第一届董事会届满。截至本公开转让说明书出具之日，林波先生还兼任北京华财会计股份有限公司董事。
5f6583e7ade9005a1ece577d,林晓东,美邦服饰,,,0,
5f6583c0ade9005a1ece4e7f,严宝强,拓维信息,,,0,
5f6583c7ade9005a1ece5063,王业安,大东南,,,0,
5f6583d7ade9005a1ece53c2,喻杰,浙富控股,,,0,
5f6583e3ade9005a1ece5635,冯渊,卫士通,冯渊(《红楼梦》人物角色),https://baike.baidu.com/item/%E5%86%AF%E6%B8%8A/56281,0,故，脂曰：“不是写冯渊，正是写英莲。”英莲的坎坷人生和士隐的一生坎坷其主题和宗旨是一致的，是教儒子猛醒之笔。冯渊“他一眼看上”英莲，脂曰：“善善恶...
5f6583aeade9005a1ece49bf,陈实,兆新,,,0,
5f6583b3ade9005a1ece4a9b,来红刚,利尔化学,,,0,
5f6583b4ade9005a1ece4b11,刘军,利尔化学,,,0,
5f6583bfade9005a1ece4e01,倪正东,拓维信息,,,0,
5f6583c0ade9005a1ece4e98,王伟峰,拓维信息,,,0,
5f6583c7ade9005a1ece503b,钱苏凯,大东南,,,0,
5f6583d7ade9005a1ece53d7,李娟,浙富控股,,,0,
